=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:14:03
处理文件数: 8968
处理耗时: 2.31 秒
发现信号数: 1030
历史信号总数: 1030
平均胜率: 0.0%
平均收益率: 1.2%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sz300752 - 胜率: 0.0%, 收益: 20.5%, 天数: 0.0 天
 2. sz300702 - 胜率: 0.0%, 收益: 19.9%, 天数: 0.0 天
 3. sz300158 - 胜率: 0.0%, 收益: 18.9%, 天数: 0.0 天
 4. sh688228 - 胜率: 0.0%, 收益: 14.6%, 天数: 0.0 天
 5. sz300255 - 胜率: 0.0%, 收益: 14.3%, 天数: 0.0 天
 6. sz300314 - 胜率: 0.0%, 收益: 13.7%, 天数: 0.0 天
 7. sh600172 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 8. sz300669 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
 9. sz300264 - 胜率: 0.0%, 收益: 12.2%, 天数: 0.0 天
10. sz000026 - 胜率: 0.0%, 收益: 12.1%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 1030/1030
A级股票发现: 373
价格评估完成: 373
买入推荐: 805

=== A级股票详情 ===
sh603979: 83.5分, ¥50.06, BUY (信心度: 83.5%) [已评估]
sh688526: 81.1分, ¥17.30, BUY (信心度: 81.1%) [已评估]
sh603566: 81.4分, ¥15.26, BUY (信心度: 81.4%) [已评估]
sh603098: 81.9分, ¥10.62, BUY (信心度: 81.9%) [已评估]
sh601519: 81.3分, ¥14.07, BUY (信心度: 81.3%) [已评估]
sh600833: 81.8分, ¥13.40, BUY (信心度: 81.8%) [已评估]
sh601969: 81.4分, ¥8.23, BUY (信心度: 81.4%) [已评估]
sh600684: 82.9分, ¥4.61, BUY (信心度: 82.9%) [已评估]
sh600305: 80.6分, ¥7.91, BUY (信心度: 80.6%) [已评估]
sh600526: 81.7分, ¥4.99, BUY (信心度: 81.7%) [已评估]
sh600108: 82.4分, ¥3.03, BUY (信心度: 82.4%) [已评估]
sh603817: 82.2分, ¥6.07, BUY (信心度: 82.2%) [已评估]
sh600699: 81.5分, ¥18.77, BUY (信心度: 81.5%) [已评估]
sh603637: 81.5分, ¥11.47, BUY (信心度: 81.5%) [已评估]
sh600864: 82.6分, ¥6.99, BUY (信心度: 82.6%) [已评估]
sh600234: 82.4分, ¥9.19, BUY (信心度: 82.4%) [已评估]
sh600830: 82.4分, ¥11.10, BUY (信心度: 82.4%) [已评估]
sh600058: 81.4分, ¥8.25, BUY (信心度: 81.4%) [已评估]
sh603188: 81.3分, ¥4.61, BUY (信心度: 81.3%) [已评估]
sh603739: 82.3分, ¥14.85, BUY (信心度: 82.3%) [已评估]
sh600577: 82.2分, ¥7.84, BUY (信心度: 82.2%) [已评估]
sh601566: 81.2分, ¥9.20, BUY (信心度: 81.2%) [已评估]
sh600590: 81.3分, ¥10.03, BUY (信心度: 81.3%) [已评估]
sh600531: 83.3分, ¥8.55, BUY (信心度: 83.3%) [已评估]
sh600391: 81.2分, ¥31.89, BUY (信心度: 81.2%) [已评估]
sh600168: 82.0分, ¥4.94, BUY (信心度: 82.0%) [已评估]
sh603235: 81.9分, ¥28.86, BUY (信心度: 81.9%) [已评估]
sh600103: 82.2分, ¥2.32, BUY (信心度: 82.2%) [已评估]
sh601311: 81.5分, ¥9.41, BUY (信心度: 81.5%) [已评估]
sh600909: 81.2分, ¥6.17, BUY (信心度: 81.2%) [已评估]
sh600601: 82.0分, ¥5.92, BUY (信心度: 82.0%) [已评估]
sh688480: 83.0分, ¥43.39, BUY (信心度: 83.0%) [已评估]
sh600800: 81.8分, ¥4.23, BUY (信心度: 81.8%) [已评估]
sh603999: 82.8分, ¥6.97, BUY (信心度: 82.8%) [已评估]
sh600180: 81.8分, ¥4.64, BUY (信心度: 81.8%) [已评估]
sh603239: 81.5分, ¥16.03, BUY (信心度: 81.5%) [已评估]
sh603075: 84.4分, ¥23.68, BUY (信心度: 84.4%) [已评估]
sh600179: 80.8分, ¥3.25, BUY (信心度: 80.8%) [已评估]
sh600308: 82.5分, ¥3.60, BUY (信心度: 82.5%) [已评估]
sh600757: 82.7分, ¥9.67, BUY (信心度: 82.7%) [已评估]
sh603903: 81.5分, ¥8.27, BUY (信心度: 81.5%) [已评估]
sh600496: 81.0分, ¥3.39, BUY (信心度: 81.0%) [已评估]
sh600336: 82.1分, ¥7.17, BUY (信心度: 82.1%) [已评估]
sh688469: 80.9分, ¥5.14, BUY (信心度: 80.9%) [已评估]
sh601688: 82.2分, ¥20.29, BUY (信心度: 82.2%) [已评估]
sh600918: 81.8分, ¥6.89, BUY (信心度: 81.8%) [已评估]
sh600371: 80.6分, ¥9.60, BUY (信心度: 80.6%) [已评估]
sh601958: 82.2分, ¥12.98, BUY (信心度: 82.2%) [已评估]
sh600624: 82.0分, ¥7.39, BUY (信心度: 82.0%) [已评估]
sh688376: 80.2分, ¥45.95, BUY (信心度: 80.2%) [已评估]
sh601066: 80.2分, ¥25.92, BUY (信心度: 80.2%) [已评估]
sh600817: 80.8分, ¥12.69, BUY (信心度: 80.8%) [已评估]
sh600730: 80.4分, ¥8.16, BUY (信心度: 80.4%) [已评估]
sh600096: 81.8分, ¥24.90, BUY (信心度: 81.8%) [已评估]
sh603230: 81.9分, ¥13.44, BUY (信心度: 81.9%) [已评估]
sh600697: 82.1分, ¥12.76, BUY (信心度: 82.1%) [已评估]
sh600746: 81.8分, ¥8.28, BUY (信心度: 81.8%) [已评估]
sh600467: 82.4分, ¥2.42, BUY (信心度: 82.4%) [已评估]
sh600681: 82.4分, ¥3.73, BUY (信心度: 82.4%) [已评估]
sh603639: 80.1分, ¥15.12, BUY (信心度: 80.1%) [已评估]
sh600137: 82.4分, ¥20.55, BUY (信心度: 82.4%) [已评估]
sh601108: 81.1分, ¥8.24, BUY (信心度: 81.1%) [已评估]
sh600981: 81.6分, ¥3.05, BUY (信心度: 81.6%) [已评估]
sh603045: 82.5分, ¥18.39, BUY (信心度: 82.5%) [已评估]
sh600330: 80.4分, ¥8.05, BUY (信心度: 80.4%) [已评估]
sh603006: 82.5分, ¥13.46, BUY (信心度: 82.5%) [已评估]
sh603610: 82.0分, ¥13.09, BUY (信心度: 82.0%) [已评估]
sh603303: 81.8分, ¥13.67, BUY (信心度: 81.8%) [已评估]
sh600293: 81.8分, ¥3.16, BUY (信心度: 81.8%) [已评估]
