=== DAILY_MA_PULLBACK 策略筛选报告 ===
扫描时间: 2025-08-13 15:50:00
处理文件数: 8968
处理耗时: 2.29 秒
发现信号数: 410
历史信号总数: 410
平均胜率: 0.0%
平均收益率: 0.1%
平均达峰天数: 0.0 天

=== 前10名表现最佳股票 ===
 1. sh688291 - 胜率: 0.0%, 收益: 6.9%, 天数: 0.0 天
 2. sz002683 - 胜率: 0.0%, 收益: 6.1%, 天数: 0.0 天
 3. sz000657 - 胜率: 0.0%, 收益: 5.2%, 天数: 0.0 天
 4. sh688425 - 胜率: 0.0%, 收益: 4.8%, 天数: 0.0 天
 5. sz002067 - 胜率: 0.0%, 收益: 3.6%, 天数: 0.0 天
 6. sh600010 - 胜率: 0.0%, 收益: 3.1%, 天数: 0.0 天
 7. sh600801 - 胜率: 0.0%, 收益: 2.3%, 天数: 0.0 天
 8. sh600380 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
 9. sh601388 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天
10. sh600015 - 胜率: 0.0%, 收益: 0.0%, 天数: 0.0 天

=== 深度扫描结果 (多线程) ===
深度分析成功: 410/410
A级股票发现: 65
价格评估完成: 65
买入推荐: 210

=== A级股票详情 ===
sh600549: 80.3分, ¥23.64, BUY (信心度: 80.3%) [已评估]
sh600594: 82.1分, ¥4.31, BUY (信心度: 82.1%) [已评估]
sh600326: 81.1分, ¥16.52, BUY (信心度: 81.1%) [已评估]
sh600596: 81.0分, ¥10.16, BUY (信心度: 81.0%) [已评估]
sh600528: 81.2分, ¥9.25, BUY (信心度: 81.2%) [已评估]
sh688373: 81.5分, ¥7.95, BUY (信心度: 81.5%) [已评估]
sh601377: 81.2分, ¥6.59, BUY (信心度: 81.2%) [已评估]
sh601005: 81.4分, ¥1.56, BUY (信心度: 81.4%) [已评估]
sh600774: 82.7分, ¥10.88, BUY (信心度: 82.7%) [已评估]
sh603116: 82.6分, ¥6.75, BUY (信心度: 82.6%) [已评估]
sh601678: 82.3分, ¥4.46, BUY (信心度: 82.3%) [已评估]
sh600977: 80.7分, ¥13.45, BUY (信心度: 80.7%) [已评估]
sh601208: 80.7分, ¥16.52, BUY (信心度: 80.7%) [已评估]
sh600352: 81.5分, ¥10.59, BUY (信心度: 81.5%) [已评估]
sh603797: 81.5分, ¥4.81, BUY (信心度: 81.5%) [已评估]
sh603217: 81.4分, ¥18.63, BUY (信心度: 81.4%) [已评估]
sh603151: 80.9分, ¥24.56, BUY (信心度: 80.9%) [已评估]
sh603980: 81.5分, ¥5.96, BUY (信心度: 81.5%) [已评估]
sh603059: 80.5分, ¥32.95, BUY (信心度: 80.5%) [已评估]
sh600196: 80.9分, ¥26.80, BUY (信心度: 80.9%) [已评估]
sh603676: 81.4分, ¥12.98, BUY (信心度: 81.4%) [已评估]
sh601696: 80.5分, ¥14.92, BUY (信心度: 80.5%) [已评估]
sh601555: 81.1分, ¥9.60, BUY (信心度: 81.1%) [已评估]
sh600259: 80.2分, ¥61.95, BUY (信心度: 80.2%) [已评估]
sh600749: 81.9分, ¥22.96, BUY (信心度: 81.9%) [已评估]
sh600682: 80.9分, ¥7.47, BUY (信心度: 80.9%) [已评估]
sh600117: 80.6分, ¥3.92, BUY (信心度: 80.6%) [已评估]
sh600721: 81.9分, ¥8.12, BUY (信心度: 81.9%) [已评估]
sh600875: 81.3分, ¥20.11, BUY (信心度: 81.3%) [已评估]
sh600731: 81.7分, ¥7.91, BUY (信心度: 81.7%) [已评估]
sh600010: 81.8分, ¥2.57, BUY (信心度: 81.8%) [已评估]
sh688425: 80.1分, ¥6.07, BUY (信心度: 80.1%) [已评估]
sh603128: 81.2分, ¥6.37, BUY (信心度: 81.2%) [已评估]
sh600828: 81.8分, ¥4.19, BUY (信心度: 81.8%) [已评估]
sh603839: 81.2分, ¥7.70, BUY (信心度: 81.2%) [已评估]
sh603966: 82.0分, ¥11.16, BUY (信心度: 82.0%) [已评估]
sz002637: 81.2分, ¥10.92, BUY (信心度: 81.2%) [已评估]
sz002319: 80.4分, ¥13.22, BUY (信心度: 80.4%) [已评估]
sz000758: 81.5分, ¥6.12, BUY (信心度: 81.5%) [已评估]
sz001225: 80.8分, ¥40.95, BUY (信心度: 80.8%) [已评估]
sz300041: 81.5分, ¥10.15, BUY (信心度: 81.5%) [已评估]
sz000558: 83.1分, ¥5.72, BUY (信心度: 83.1%) [已评估]
sz002142: 82.3分, ¥28.28, BUY (信心度: 82.3%) [已评估]
sz000905: 82.7分, ¥8.39, BUY (信心度: 82.7%) [已评估]
sz300434: 81.6分, ¥10.75, BUY (信心度: 81.6%) [已评估]
