stock_code,strategy,signal_type,signal_strength,date,current_price,scan_timestamp
sh600123,深渊筑底策略,BUY,2,2025-08-14,6.78,2025-08-15 15:25:29
sh603517,周线金叉+日线MA,BUY,1,2025-08-14,15.57,2025-08-15 15:25:30
sh600171,周线金叉+日线MA,BUY,1,2025-08-14,34.77,2025-08-15 15:25:30
sh600355,深渊筑底策略,BUY,2,2025-08-14,3.36,2025-08-15 15:25:30
sh603178,深渊筑底策略,BUY,2,2025-08-14,18.3,2025-08-15 15:25:29
sh600054,周线金叉+日线MA,BUY,1,2025-08-14,11.78,2025-08-15 15:25:29
sh600546,深渊筑底策略,BUY,2,2025-08-14,10.06,2025-08-15 15:25:28
sh600860,周线金叉+日线MA,BUY,1,2025-08-14,12.88,2025-08-15 15:25:29
sh600702,深渊筑底策略,BUY,2,2025-08-14,53.58,2025-08-15 15:25:30
sh688209,周线金叉+日线MA,BUY,1,2025-08-14,19.29,2025-08-15 15:25:27
sh605577,深渊筑底策略,BUY,2,2025-08-14,13.32,2025-08-15 15:25:29
sh600026,深渊筑底策略,BUY,2,2025-08-14,10.07,2025-08-15 15:25:28
sh603366,深渊筑底策略,BUY,2,2025-08-14,9.61,2025-08-15 15:25:29
sh603721,深渊筑底策略,BUY,2,2025-08-14,19.22,2025-08-15 15:25:30
sh603261,深渊筑底策略,BUY,2,2025-08-14,20.73,2025-08-15 15:25:30
sh603348,深渊筑底策略,BUY,2,2025-08-14,21.03,2025-08-15 15:25:33
sh600199,深渊筑底策略,BUY,2,2025-08-14,10.44,2025-08-15 15:25:31
sh605108,深渊筑底策略,BUY,2,2025-08-14,19.48,2025-08-15 15:25:33
sh603231,深渊筑底策略,BUY,2,2025-08-14,17.2,2025-08-15 15:25:33
sh600756,周线金叉+日线MA,BUY,1,2025-08-14,15.39,2025-08-15 15:25:32
sz300208,深渊筑底策略,POTENTIAL_BUY,1,2025-07-18,0.28,2025-08-15 15:25:32
sz003025,周线金叉+日线MA,BUY,1,2025-08-14,14.46,2025-08-15 15:25:33
sz003032,深渊筑底策略,BUY,2,2025-08-14,6.47,2025-08-15 15:25:34
sz000595,深渊筑底策略,BUY,2,2025-08-14,4.98,2025-08-15 15:25:35
sz300603,周线金叉+日线MA,BUY,1,2025-08-14,12.14,2025-08-15 15:25:31
sz300268,深渊筑底策略,BUY,2,2025-08-14,10.45,2025-08-15 15:25:33
sz001378,深渊筑底策略,BUY,2,2025-08-14,23.25,2025-08-15 15:25:34
sz000736,深渊筑底策略,BUY,2,2025-08-14,4.81,2025-08-15 15:25:31
sz002581,深渊筑底策略,POTENTIAL_BUY,1,2025-08-14,7.29,2025-08-15 15:25:34
sz000723,深渊筑底策略,BUY,2,2025-08-14,4.51,2025-08-15 15:25:34
sz003004,深渊筑底策略,BUY,2,2025-08-14,18.77,2025-08-15 15:25:36
sz002662,周线金叉+日线MA,BUY,1,2025-08-14,3.57,2025-08-15 15:25:33
sz002762,深渊筑底策略,BUY,2,2025-08-14,6.4,2025-08-15 15:25:35
sz300908,周线金叉+日线MA,BUY,1,2025-08-14,30.32,2025-08-15 15:25:37
sz300338,深渊筑底策略,BUY,2,2025-08-14,3.83,2025-08-15 15:25:35
sz002521,深渊筑底策略,BUY,2,2025-08-14,8.86,2025-08-15 15:25:37
sz002531,深渊筑底策略,BUY,2,2025-08-14,6.53,2025-08-15 15:25:35
sz002101,周线金叉+日线MA,BUY,1,2025-08-14,12.9,2025-08-15 15:25:36
sz002630,深渊筑底策略,BUY,2,2025-08-14,2.47,2025-08-15 15:25:37
sz300175,深渊筑底策略,BUY,2,2025-08-14,5.25,2025-08-15 15:25:37
sz000518,深渊筑底策略,BUY,2,2025-08-14,2.27,2025-08-15 15:25:38
sz001300,深渊筑底策略,BUY,2,2025-08-14,13.11,2025-08-15 15:25:39
sz001333,周线金叉+日线MA,BUY,1,2025-08-14,22.02,2025-08-15 15:25:39
sz000820,深渊筑底策略,BUY,2,2025-08-14,2.68,2025-08-15 15:25:39
sz000536,周线金叉+日线MA,BUY,1,2025-08-14,4.85,2025-08-15 15:25:36
sz002239,周线金叉+日线MA,BUY,1,2025-08-14,2.94,2025-08-15 15:25:36
sz000810,周线金叉+日线MA,BUY,1,2025-08-14,11.65,2025-08-15 15:25:36
sz002789,深渊筑底策略,BUY,2,2025-08-14,8.43,2025-08-15 15:25:36
sz002529,深渊筑底策略,BUY,2,2025-08-14,6.39,2025-08-15 15:25:36
sz000521,深渊筑底策略,BUY,2,2025-08-14,7.21,2025-08-15 15:25:37
