====================================================================================================
B级股票长期跟踪报告
====================================================================================================
生成时间: 2025-08-28 17:05:06
B级股票数量: 438只

📋 B级筛选标准:
  • 置信度范围: 60% - 85%
  • 风险等级: 中, 低
  • 最低信号强度: 1
  • 最低预期收益: 5.0%
  • RSI范围: 20 - 40
  • 综合评分范围: 60 - 80分

📈 表现统计摘要
--------------------------------------------------
5日表现:
  平均涨幅: 3.71%
  胜率: 76.5% (62/81)
  最大涨幅: 21.66%
  最大跌幅: -14.20%

15日表现:
  平均涨幅: 4.30%
  胜率: 70.4% (57/81)
  最大涨幅: 28.58%
  最大跌幅: -5.56%

23日表现:
  平均涨幅: 4.42%
  胜率: 66.7% (54/81)
  最大涨幅: 28.58%
  最大跌幅: -6.41%

🥈 B级原因分布:
  universal_screeningB级: 421只
  RSI底部B级: 17只

📂 数据来源分布:
  universal_screening: 421只
  rsi_bottom: 17只

🔄 重复数据统计:
  有重复记录的股票: 436只
  总计去除重复记录: 2990条

📊 B级股票详细表现
----------------------------------------------------------------------------------------------------
序号   股票代码         回测日期         B级原因                           5日涨幅       15日涨幅      23日涨幅      当前价格      
----------------------------------------------------------------------------------------------------
1    sz300147     2025-08-14   universal_screeningB级 (信号强度2   +21.7%     +28.6%     +28.6%     ¥11.70    
2    sz000536     2025-08-14   universal_screeningB级 (信号强度1   +17.9%     +20.2%     +20.2%     ¥5.83     
3    sz002182     2025-08-14   universal_screeningB级 (信号强度2   +15.3%     +11.4%     +11.4%     ¥14.02    
4    sh603366     2025-08-15   universal_screeningB级 (信号强度2   +14.0%     +19.8%     +19.8%     ¥11.44    
5    sh600702     2025-08-15   universal_screeningB级 (信号强度2   +12.8%     +19.4%     +19.4%     ¥64.50    
6    sz300052     2025-08-14   universal_screeningB级 (信号强度2   +12.4%     +11.2%     +11.2%     ¥11.64    
7    sh688593     2025-08-14   universal_screeningB级 (信号强度1   +9.7%      +12.2%     +12.2%     ¥18.89    
8    bj838701     2025-08-14   universal_screeningB级 (信号强度1   +9.4%      +23.2%     +23.2%     ¥23.70    
9    sh688496     2025-08-14   universal_screeningB级 (信号强度2   +8.9%      +7.9%      +7.9%      ¥10.13    
10   sz300338     2025-08-15   universal_screeningB级 (信号强度2   +8.7%      +9.0%      +9.0%      ¥4.24     
11   sz000521     2025-08-15   universal_screeningB级 (信号强度2   +7.9%      +4.6%      +4.6%      ¥7.66     
12   sz000420     2025-08-15   universal_screeningB级 (信号强度1   +7.6%      +4.5%      +4.5%      ¥4.38     
13   sz000810     2025-08-14   universal_screeningB级 (信号强度1   +7.3%      +9.0%      +9.0%      ¥12.70    
14   sh600026     2025-08-15   universal_screeningB级 (信号强度2   +7.0%      +4.7%      +4.7%      ¥10.55    
15   sz300603     2025-08-14   universal_screeningB级 (信号强度1   +6.8%      -1.4%      -1.4%      ¥11.97    
16   sh600860     2025-08-14   universal_screeningB级 (信号强度1   +6.6%      -1.3%      -1.3%      ¥12.71    
