stock_code,eval_date,strategy,trade_status,final_pnl,MFE,MAE,holding_days,entry_slip,trigger_buy,stop_loss,best_ma,polarity,fit_score,deep_touches
sh603727,2026-04-28,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0564,0.0214,-0.0592,4,0.0000,17.7504,16.2712,60,0,56,21
sh601326,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,3.3408,3.0624,240,0,76,24
sh688277,2026-04-28,ADAPTIVE_MA_SUPPORT,止盈成功,0.0980,0.1158,0.0000,1,-0.0556,18.9696,17.3888,150,0,48,17
sh600026,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.5152,18.8056,60,1,105,16
sz300813,2026-04-28,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0161,0.0198,-0.0268,3,0.0000,25.1040,23.0120,240,0,64,18
sz002828,2026-04-28,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0252,0.0286,-0.0348,7,0.0000,11.5104,10.5512,150,0,68,25
sz002318,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,27.2928,25.0184,150,0,64,17
sz002555,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.7648,19.0344,200,0,60,17
sz300565,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,12.1152,11.1056,240,1,105,17
sz300335,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,6.2976,5.7728,90,0,60,24
sz000919,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,6.9504,6.3712,240,0,76,24
sz000617,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.8992,8.1576,240,0,72,21
sz000591,2026-04-28,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,4.8672,4.4616,150,0,84,24
sz300889,2026-04-28,ADAPTIVE_MA_SUPPORT,持仓到期,-0.0020,0.0319,-0.0060,3,-0.0227,23.2320,21.2960,90,0,52,15
