stock_code,eval_date,entry_date,exit_date,future_min_low,future_max_high,strategy,trade_status,final_pnl,MFE,MAE,holding_days,entry_slip,trigger_buy,stop_loss,best_ma,polarity,fit_score,deep_touches
sh601388,2026-05-19,,,3.6400,3.7500,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,3.4560,3.1680,120,0,52,18
sh688338,2026-05-19,,,27.6100,28.6800,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,26.5536,24.3408,240,0,88,25
sh603863,2026-05-19,,,18.0000,18.5500,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,17.9424,16.4472,240,0,56,20
sh603193,2026-05-19,,,23.0700,23.7300,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,22.7520,20.8560,60,1,141,25
sh600583,2026-05-19,,,6.1400,6.2700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,5.9712,5.4736,150,0,60,24
sh603606,2026-05-19,,,57.4500,59.3200,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,56.7840,52.0520,200,0,64,21
sh600867,2026-05-19,,,8.5500,8.7300,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.4480,7.7440,200,0,76,25
sh688488,2026-05-19,,,15.7700,16.2700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,15.4848,14.1944,200,0,56,24
sh600389,2026-05-19,,,25.7000,26.5900,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,25.5360,23.4080,120,0,72,24
sh603829,2026-05-19,2026-05-20,2026-05-20,25.2700,26.9500,ADAPTIVE_MA_SUPPORT,持仓到期,0.0488,0.0000,0.0000,0,-0.0240,26.2798,24.5456,120,0,48,14
sh600716,2026-05-19,,,4.0200,4.2200,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,3.9648,3.6344,200,0,60,19
sh000986,2026-05-19,,,2742.3500,2784.1200,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,2596.7040,2380.3120,90,0,96,25
sh603806,2026-05-19,,,16.3000,16.8000,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,15.7152,14.4056,150,0,56,19
sh688357,2026-05-19,,,34.3000,35.6000,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,33.5136,30.7208,200,0,56,24
sz000951,2026-05-19,,,20.9300,21.4700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,20.1120,18.4360,90,0,68,19
sz002884,2026-05-19,,,17.1100,17.5100,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,16.9536,15.5408,200,0,72,20
sz002306,2026-05-19,,,2.2200,2.2600,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,2.1600,1.9800,90,0,68,24
sz002416,2026-05-19,,,12.0700,12.2600,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,12.0096,11.0088,240,1,133,22
sz002166,2026-05-19,,,8.6800,8.9700,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,8.2848,7.5944,150,0,60,20
sz002128,2026-05-19,2026-05-20,2026-05-20,28.8700,29.7600,ADAPTIVE_MA_SUPPORT,持仓到期,0.0118,0.0000,0.0000,0,-0.0057,29.4720,27.0160,90,0,60,17
sz300091,2026-05-19,,,2.9900,3.0300,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,2.8704,2.6312,240,0,80,23
sz001230,2026-05-19,,,25.2100,25.9300,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,25.0752,22.9856,60,0,72,23
sz002554,2026-05-19,,,3.3900,3.4600,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,3.3024,3.0272,200,0,48,18
sz300511,2026-05-19,2026-05-20,2026-05-20,6.5200,7.0200,ADAPTIVE_MA_SUPPORT,持仓到期,0.0517,0.0000,0.0000,0,-0.0009,6.6240,6.0720,90,0,76,25
sz000065,2026-05-19,,,12.1200,12.8000,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,12.0576,11.0528,150,0,56,16
sz300986,2026-05-19,,,21.5200,22.5400,ADAPTIVE_MA_SUPPORT,未成交,0.0000,0.0000,0.0000,0,0.0000,22.2905,20.8196,120,1,65,4
