stock_code,trade_status,final_pnl,holding_days,MFE,MAE,raw_score_v12,best_ma,deep_touches,burst_ratio,ma_slope,drop_velocity,vol_ratio,amplitude
sh688082,止盈成功,0.0750,5,0.0952,0.0000,154,240,9,0.4792,0.0260,-0.0808,1.0731,0.5863
sh600143,持仓到期,0.0234,5,0.0409,-0.0002,74,200,12,0.3000,0.0392,-0.0580,0.6851,0.4020
sh603091,止盈成功,0.0980,3,0.1087,0.0000,93,200,8,0.2354,0.0381,-0.0917,0.7299,0.2868
sh603283,未成交,0.0000,0,0.0000,0.0000,74,200,14,0.3405,0.0025,-0.1110,0.4924,0.4369
sh600172,止盈成功,0.0980,4,0.1191,-0.0187,225,60,9,0.4859,0.1242,-0.2435,0.4511,1.3653
sh600603,持仓到期,0.0311,7,0.0688,-0.0081,77,60,16,0.1970,0.0436,-0.1573,0.8841,0.4764
sh600183,止盈成功,0.0980,1,0.0988,0.0000,216,200,4,0.4026,0.0617,-0.1698,0.7514,0.4662
sh603396,持仓到期,0.0364,5,0.0470,-0.0168,183,120,6,0.5345,0.0495,-0.1191,1.1647,1.0593
sh601198,未成交,0.0000,0,0.0000,0.0000,51,200,17,0.1951,0.0214,-0.0789,0.8926,0.3166
sh600895,持仓到期,0.0206,5,0.0714,-0.0010,95,240,9,0.2908,0.0243,-0.0809,1.3942,0.6401
sh600596,未成交,0.0000,0,0.0000,0.0000,128,200,9,0.2979,0.0345,-0.1387,0.6795,0.4779
sh600846,持仓到期,0.0284,6,0.0453,0.0000,77,240,8,0.1694,0.0247,-0.1270,0.8119,0.5714
sh600329,持仓到期,0.0136,0,0.0000,0.0000,76,240,6,0.1821,0.0214,-0.0713,1.3053,0.2643
sh600226,止盈成功,0.0980,2,0.1142,0.0000,145,150,9,0.3835,0.0656,-0.1248,0.5601,0.6616
sh603878,持仓到期,0.0319,6,0.0593,0.0000,137,240,8,0.2926,0.0277,-0.1518,0.5840,0.7514
sh688648,止盈成功,0.0980,1,0.1033,0.0000,149,240,8,0.2686,0.0518,-0.1288,0.7606,0.5483
sh605183,持仓到期,0.0366,6,0.0436,-0.0089,64,240,13,0.2466,0.0127,-0.1976,0.9140,0.3071
sh603986,止盈成功,0.0980,4,0.1398,-0.0115,157,90,5,0.2951,0.0474,-0.1871,1.2788,0.8816
sh688281,止盈成功,0.0750,6,0.0799,-0.0095,145,200,8,0.5593,0.0093,-0.1184,0.8257,0.8234
sh603216,止盈成功,0.0980,2,0.1569,0.0000,200,120,8,0.8129,0.1048,-0.1124,0.5350,2.8158
sh603228,未成交,0.0000,0,0.0000,0.0000,153,240,6,0.2749,0.0350,-0.1441,0.8307,0.5417
sh688261,止盈成功,0.0750,5,0.0821,0.0000,212,200,7,0.4908,0.0563,-0.1809,0.7366,0.8963
sh600580,持仓到期,0.0341,5,0.0627,-0.0066,132,200,9,0.2775,0.0390,-0.0916,0.7098,0.3983
sh603766,止盈成功,0.0750,5,0.1292,0.0000,60,240,8,0.2216,0.0226,-0.1261,2.2281,0.4089
sh603181,持仓到期,0.0473,6,0.0731,0.0000,72,240,16,0.2009,0.0176,-0.1454,0.6200,0.5297
sh688416,未成交,0.0000,0,0.0000,0.0000,216,120,4,0.7031,0.0995,-0.2931,0.7743,1.5549
sh688433,止盈成功,0.0750,5,0.1206,-0.0504,178,90,12,0.4085,0.1020,-0.1800,0.7366,1.3646
sh600685,止盈成功,0.0750,5,0.0841,0.0000,131,240,10,0.3640,0.0223,-0.1403,0.7317,0.5100
sh603088,止盈成功,0.0750,5,0.1219,-0.0425,99,60,13,0.1793,0.0680,-0.1057,0.8875,0.4738
sh600028,未成交,0.0000,0,0.0000,0.0000,86,240,15,0.3843,0.0062,-0.0651,0.4264,0.5389
sh603187,止盈成功,0.0750,5,0.0912,0.0000,93,200,6,0.1934,0.0274,-0.1297,1.2258,0.2608
sh600096,持仓到期,0.0148,8,0.0465,-0.0422,207,120,6,0.3472,0.0566,-0.1920,0.4847,0.7820
sh688269,持仓到期,0.0025,5,0.0398,-0.0007,192,240,8,0.4508,0.0303,-0.1566,0.4752,0.5119
sh688766,止盈成功,0.0980,2,0.1233,0.0000,167,60,10,0.3305,0.2038,-0.2212,1.0093,3.0274
sh600737,持仓到期,0.0072,7,0.0531,0.0000,136,240,3,0.3587,0.0320,-0.1001,0.6733,0.4538
sh600378,未成交,0.0000,0,0.0000,0.0000,120,200,9,0.3175,0.0259,-0.0866,0.9218,0.4424
sh600688,持仓到期,-0.0187,8,0.0293,-0.0221,148,200,9,0.3430,0.0089,-0.1101,0.3384,0.4904
sh601890,持仓到期,0.0259,6,0.0477,0.0000,180,240,8,0.4084,0.0144,-0.1491,0.4836,0.5234
sh603610,持仓到期,0.0248,6,0.0735,0.0000,149,240,8,0.3192,0.0284,-0.2112,0.7568,0.4481
sh600962,持仓到期,-0.0105,8,0.0320,-0.0259,124,240,8,0.3460,0.0250,-0.0748,0.7137,0.4415
sh688472,持仓到期,0.0232,5,0.0627,-0.0078,157,200,3,0.3763,0.0399,-0.1734,0.7072,1.1298
sh688135,止盈成功,0.0980,2,0.1605,0.0000,150,240,8,0.5533,0.0281,-0.1391,0.6797,0.6129
sh000685,止盈成功,0.0980,3,0.1014,0.0000,94,150,9,0.2048,0.0461,-0.0568,0.9846,0.3635
sh601061,持仓到期,0.0401,5,0.0656,-0.0118,167,200,7,0.4952,0.0422,-0.1243,0.9904,0.9639
