signal_idx,stock_code,t0_date,buy_price,status,error_msg,trend,structure_strength,supports_count,resistances_count,baseline_pnl_pct,baseline_exit_reason,baseline_exit_day,baseline_exit_price,entry_type,entry_day_idx,entry_price,entry_confirmation,entry_confidence,support_used_price,support_used_type,initial_stop,tp_levels,position_size,total_risk_pct,final_exit_reason,total_pnl_pct,weighted_pnl_pct,total_pnl_amount,total_hold_days,trade_records_count,rec0_exit_day,rec0_exit_price,rec0_exit_reason,rec0_shares,rec0_pnl_pct,rec1_exit_day,rec1_exit_price,rec1_exit_reason,rec1_shares,rec1_pnl_pct,hold_return,future_mfe,fine_score,month,wait_days,filter_reason,nearest_support_dist,nearest_resistance_dist
0,bj920152,2025-02-21 00:00:00,20.5,traded,,RANGE,0.6083333333333333,3,0,-0.08150000000000007,stop_loss,0,18.86,pullback,1.0,18.92,long_lower_shadow,0.75125,19.6343,poc,17.4064,"[20.812000000000005, 22.704]",3300.0,0.004994880000000001,take_profit_2,0.176969696969697,0.15151515151515155,11049.280000000002,2.0,2.0,2.0,20.812000000000005,take_profit_1,1600.0,0.10000000000000014,3.0,22.704,take_profit_2,1700.0,0.19999999999999993,0.0507317073170732,0.4384999999999999,2.176198812616781,2025-02,,,,
1,bj920171,2025-02-21 00:00:00,27.51,traded,,UP,0.8833333333333334,4,2,0.29850000000000004,take_profit,3,35.763000000000005,pullback,2.0,27.27,bullish_candle,0.9425000000000001,25.994000000000003,poc,25.0884,"[29.68, 32.0]",2200.0,0.004799519999999999,take_profit_2,0.1498607751008569,0.13091309130913092,8990.74734140081,1.0,2.0,3.0,29.68,take_profit_1,1100.0,0.08837550421708838,3.0,32.0,take_profit_2,1100.0,0.17345067840117348,0.1813885859687385,0.3754423213021938,1.7515919905138555,2025-02,,,,
2,bj920249,2025-02-21 00:00:00,14.96,expired,,UP,0.7749999999999999,4,1,-0.08149999999999996,stop_loss,1,13.763200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0033422459893048,0.4688524590163934,1.383759578185085,2025-02,5.0,,,
3,bj920092,2025-02-21 00:00:00,51.93932322053677,filtered,,DOWN,0.39999999999999997,5,1,-0.08150000000000007,stop_loss,18,47.78417736289383,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1284615384615385,0.1566037735849055,1.2602427210845335,2025-02,,下降趋势中不做多 (趋势: DOWN),0.06736226415094347,0.04396226415094331
4,bj920130,2025-02-21 00:00:00,21.8,expired,,RANGE,0.35,1,2,-0.08149999999999996,stop_loss,4,20.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5596330275229358,1.5339366515837105,1.2556745468836603,2025-02,5.0,,,
5,bj920395,2025-02-21 00:00:00,14.905659490993468,expired,,UP,0.8416666666666667,4,1,-0.08149999999999996,stop_loss,19,13.713206731713992,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0378787878787878,0.2060573282855597,1.2219793074308245,2025-02,5.0,,,
6,bj920906,2025-02-21 00:00:00,25.67753272304481,traded,,UP,0.8333333333333334,4,0,-0.08149999999999996,stop_loss,1,23.623330105201227,pullback,2.0,25.0226961080058,bullish_candle,0.935,24.372820376414055,poc,23.020880419365337,"[27.52496571880638, 30.02723532960696]",2400.0,0.00480435765273711,stop_loss,-0.07359999999999996,-0.07999999999999995,-4420.009040518142,3.0,1.0,5.0,23.020880419365337,stop_loss,2400.0,-0.07999999999999995,,,,,,0.044049459041731,0.4908684308609767,1.1574932210421298,2025-02,,,,
7,bj920522,2025-02-21 00:00:00,30.38593134169665,expired,,UP,0.9083333333333333,4,0,-0.02449999999999991,hold_to_end,21,29.68705492083763,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.023,0.2896666666666667,1.1488312375590355,2025-02,5.0,,,
8,bj920627,2025-02-21 00:00:00,26.39766301173924,filtered,,RANGE,0.6833333333333333,5,2,0.29850000000000004,take_profit,5,34.31696191526101,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797592174567343,0.3683254631311297,1.1100169505734694,2025-02,,上方空间不足: 阻力 0.7% vs 支撑 13.5%,0.13515558784356474,0.006916091536505442
9,bj920556,2025-02-21 00:00:00,11.652955050988194,expired,,UP,0.8666666666666666,3,2,-0.08149999999999985,stop_loss,4,10.72071864690914,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0833333333333333,0.0622047244094488,1.1018515312205095,2025-02,5.0,,,
10,bj920876,2025-02-21 00:00:00,27.926509186351705,traded,,UP,0.75,3,0,0.29850000000000004,take_profit,3,36.30446194225722,pullback,3.0,30.370078740157478,bullish_candle,0.9225000000000001,29.226288713910762,poc,27.94047244094488,"[33.40708661417323, 36.44409448818897]",2000.0,0.004859212598425196,take_profit_2,0.17500000000000013,0.15000000000000008,10629.527559055125,3.0,2.0,4.0,33.40708661417323,take_profit_1,1000.0,0.10000000000000017,6.0,36.44409448818897,take_profit_2,1000.0,0.2,0.0457142857142858,0.4016954678839257,1.0897368459111674,2025-02,,,,
11,bj920953,2025-02-21 00:00:00,41.20459602277648,expired,,UP,0.65,2,0,-0.08149999999999996,stop_loss,1,37.90822834095436,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1497409326424871,0.1111864406779661,1.072733608039617,2025-02,5.0,,,
12,bj920790,2025-02-21 00:00:00,49.38944318603381,traded,,UP,0.85,5,0,-0.08149999999999996,stop_loss,0,45.43828773115111,pullback,6.0,42.623089469547175,long_lower_shadow,0.9175,41.46490702683469,ma_ma20,39.2132423119834,"[46.88539841650189, 51.14770736345661]",1400.0,0.004773786020589285,breakeven_stop,0.055000000000000014,0.05000000000000001,3281.977889155133,7.0,2.0,8.0,46.88539841650189,take_profit_1,700.0,0.10000000000000002,13.0,42.623089469547175,breakeven_stop,700.0,0.0,-0.2398,0.0156408693885841,1.068121329643679,2025-02,,,,
13,bj920207,2025-02-21 00:00:00,27.86117213869285,filtered,,DOWN,0.425,5,1,0.29850000000000004,take_profit,2,36.219523780300705,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0014290818149338,0.6274437476945773,1.0437098335995865,2025-02,,下降趋势中不做多 (趋势: DOWN),0.11658059756547404,0.12689044632976765
14,bj920924,2025-02-21 00:00:00,44.87178562331724,expired,,UP,0.9416666666666667,4,0,-0.08149999999999985,stop_loss,0,41.28204277345186,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3471111111111111,0.0504818724185407,1.0429688046927192,2025-02,5.0,,,
15,bj920932,2025-02-21 00:00:00,23.91203899863532,filtered,,DOWN,0.39999999999999997,4,1,-0.08149999999999996,stop_loss,1,21.999075878744495,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021187705162638,0.2294117647058822,1.0397466721949935,2025-02,,下降趋势中不做多 (趋势: DOWN),0.0818029411764706,0.11176470588235292
16,bj920152,2025-02-24 00:00:00,18.92,traded,,UP,0.8083333333333333,3,0,0.29850000000000004,take_profit,2,24.596000000000004,pullback,1.0,20.4,bullish_candle,0.93125,19.6343,poc,18.768,"[22.44, 24.479999999999997]",3000.0,0.004895999999999993,take_profit_2,0.17500000000000002,0.15000000000000002,10710.0,1.0,2.0,2.0,22.44,take_profit_1,1500.0,0.10000000000000014,2.0,24.479999999999997,take_profit_2,1500.0,0.19999999999999993,0.1527484143763211,0.4457286432160805,2.107613945543807,2025-02,,,,
17,sz002527,2025-02-24 00:00:00,18.44,expired,,UP,0.625,2,0,-0.08150000000000007,stop_loss,4,16.9648,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1822125813449024,0.088888888888889,1.6571975363765854,2025-02,5.0,,,
18,bj920662,2025-02-24 00:00:00,27.25479530746921,expired,,UP,0.825,3,0,0.29850000000000004,take_profit,15,35.43123389970997,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0728260869565217,0.2354948805460752,1.4595281954347648,2025-02,5.0,,,
19,bj920855,2025-02-24 00:00:00,21.28772920569064,expired,,RANGE,0.47500000000000003,2,2,-0.08149999999999996,stop_loss,3,19.584710869235387,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0609302325581393,0.0236486486486486,1.2803612536885776,2025-02,5.0,,,
20,bj920491,2025-02-24 00:00:00,36.52334618577018,expired,,UP,0.85,5,0,-0.08149999999999985,stop_loss,3,33.60147849090857,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1483266398929049,0.0789540492510789,1.2630839807414689,2025-02,5.0,,,
21,bj920207,2025-02-24 00:00:00,26.975268487266035,traded,,UP,0.85,5,2,0.29850000000000004,take_profit,0,35.067849033445846,breakout,2.0,35.734765265418844,breakout_pullback,0.9108333333333334,30.4093893832464,breakout_support,32.87598404418534,"[39.30824179196073, 42.881718318502614]",1700.0,0.0048599280760969615,breakeven_stop,0.051764705882353004,0.04705882352941182,3144.6593433568623,2.0,2.0,3.0,39.30824179196073,take_profit_1,800.0,0.10000000000000012,4.0,35.734765265418844,breakeven_stop,900.0,0.0,0.0,0.5245335176226675,1.1697044093290463,2025-02,,,,
