trade_idx,stock_code,t0_date,entry_price,day_idx,date,code,type,severity,day_high,day_low,day_close,current_stop,pnl_at_signal,level
0,bj920152,2025-02-21 00:00:00,18.92,2,2025-02-26,D4,danger,exit,21.18,19.49,19.62,17.4064,0.036997885835095,
2,bj920906,2025-02-21 00:00:00,25.0226961080058,3,2025-02-28,D4,danger,exit,27.41384192958764,24.030519418552757,24.060284719236346,23.020880419365337,-0.038461538461538436,
4,bj920790,2025-02-21 00:00:00,42.623089469547175,5,2025-03-10,D5,danger,reduce,45.12219529476049,43.363931117337685,43.94672654693289,39.2132423119834,0.031054461181923676,
5,bj920152,2025-02-24 00:00:00,20.4,1,2025-02-26,D4,danger,exit,21.18,19.49,19.62,18.768,-0.03823529411764692,
7,bj920978,2025-02-24 00:00:00,22.8396294209292,5,2025-03-10,D5,danger,reduce,23.89899946641059,23.09232319324586,23.646305694093925,21.012459067254863,0.03531914893616994,
7,bj920978,2025-02-24 00:00:00,22.8396294209292,5,2025-03-10,S2,strength,,23.89899946641059,23.09232319324586,23.646305694093925,23.646305694093925,0.03531914893616994,moderate
8,bj920407,2025-02-24 00:00:00,19.603038031177277,6,2025-03-11,D5,danger,reduce,21.90882718607542,20.85168797220185,21.533466160859444,18.03479498868309,0.09847596717467733,
8,bj920407,2025-02-24 00:00:00,19.603038031177277,6,2025-03-11,E1,exhaustion,reduce,21.90882718607542,20.85168797220185,21.533466160859444,21.533466160859444,0.09847596717467733,
9,bj920924,2025-02-24 00:00:00,36.90455079819935,3,2025-02-28,D4,danger,exit,34.77064810411271,31.789167237141186,32.088312474629966,33.95218673434341,-0.1305052688462579,
10,bj920184,2025-02-24 00:00:00,14.483396880415944,4,2025-03-07,E1,exhaustion,reduce,16.45615251299827,15.514384748700175,15.891091854419413,13.32472512998267,0.09719370294318974,
11,bj920415,2025-02-24 00:00:00,20.98060802302051,2,2025-02-27,D4,danger,exit,21.090037462685384,19.69729913967786,20.393668301181624,19.302159381178868,-0.027975343764817362,
12,bj920895,2025-02-24 00:00:00,16.27,7,2025-03-07,D5,danger,reduce,18.25,17.32,17.55,14.9684,0.07867240319606639,
12,bj920895,2025-02-24 00:00:00,16.27,7,2025-03-07,E1,exhaustion,reduce,18.25,17.32,17.55,17.55,0.07867240319606639,
13,bj920146,2025-02-25 00:00:00,8.76,7,2025-03-12,S1,strength,,10.16,9.46,9.94,8.0592,0.13470319634703198,strong
13,bj920146,2025-02-25 00:00:00,8.76,9,2025-03-14,S1,strength,,10.82,9.53,10.42,9.08211338733346,0.1894977168949772,strong
14,bj920273,2025-02-25 00:00:00,18.836449483034368,4,2025-03-10,E1,exhaustion,reduce,19.646396042944332,18.829526862864196,19.217193592393755,17.329533524391618,0.020213156927600284,
15,bj920010,2025-02-25 00:00:00,11.891678655105324,1,2025-02-28,D4,danger,exit,12.62745141470214,10.738305140061664,10.768133765450722,10.940344362696898,-0.09448160535117067,
16,bj920837,2025-02-25 00:00:00,14.303707871554607,1,2025-02-28,D4,danger,exit,14.332780448529313,13.150495651557998,13.179568228532702,13.159411241830242,-0.07859078590785895,
19,bj920454,2025-02-25 00:00:00,16.682717555485297,1,2025-02-28,D4,danger,exit,17.113491952457924,15.253329783712497,15.370813710159576,15.348100151046474,-0.07863849765258213,
