stock_code,entry_date,month,trend,style,buy_price,exit_price,support,exit_reason_daily,original_pnl,optimized_entry,optimized_pnl,is_optimized,opt_reason,pattern_type,touch_count,skip_entry,skip_reason,early_warning_entry_day,warning_reason_entry,early_exit_triggered,early_exit_price,early_exit_pnl,early_exit_reason,has_60m_data
bj920152,2025-02-22,2025-02,RANGE,deep_pullback,20.5,20.4,19.6343,dynamic_stop,-0.00487804878048792,20.389999389648438,0.0004904664370239953,True,engulf反转，入场价 20.39 < 20.50 (改善0.54%),engulf,3,False,,False,,False,,,,True
bj920171,2025-02-23,2025-02,UP,deep_pullback,27.51,32.0,25.994000000000003,initial_tp,0.16321337695383487,27.51,0.16321337695383487,False,60分钟数据为空,,0,False,,False,,False,,,,False
bj920249,2025-02-28,2025-02,UP,deep_pullback,14.96,17.48,15.086,initial_stop,0.16844919786096257,14.96,0.16844919786096257,False,"当日未触及支撑区 (support=15.09, tol=1.5%, day_low=13.08)",,0,False,,True,60m收盘跌破支撑0.5%且未收回 (support=15.09),False,,,,True
bj920906,2025-02-23,2025-02,UP,deep_pullback,25.67753272304481,26.2926822705057,24.37282037641405,dynamic_stop,0.02395672333848542,25.67753272304481,0.02395672333848542,False,60分钟数据为空,,0,False,,False,,False,,,,False
bj920876,2025-02-24,2025-02,UP,deep_pullback,27.926509186351705,36.44409448818897,29.22628871391076,initial_tp,0.30499999999999994,27.926509186351705,0.30499999999999994,False,"当日未触及支撑区 (support=29.23, tol=1.5%, day_low=27.08)",,0,False,,True,60m收盘跌破支撑0.5%且未收回 (support=29.23),False,,,,True
bj920152,2025-02-25,2025-02,UP,deep_pullback,18.92,24.48,19.6343,initial_tp,0.2938689217758985,18.92,0.2938689217758985,False,触及支撑后K线不足,,1,False,,False,,False,,,,True
bj920407,2025-03-01,2025-03,UP,deep_pullback,21.39557843731072,21.219388568331787,18.64982530523765,initial_stop,-0.008234872896527357,,0.0,False,开盘高开44.7% (>3%)，远离支撑，放弃当日入场,,0,True,开盘高开44.7% (>3%)，远离支撑，放弃当日入场,False,,False,,,,True
bj920924,2025-02-25,2025-02,UP,deep_pullback,33.90312691539525,34.77064810411271,34.42912395797969,dynamic_stop,0.025588235294117467,33.90312691539525,0.025588235294117467,False,"当日未触及支撑区 (support=34.43, tol=1.5%, day_low=33.57)",,0,False,,False,,False,,,,True
bj920184,2025-03-01,2025-03,UP,deep_pullback,15.11785095320624,15.891091854419413,14.079923743500864,initial_stop,0.05114754098360663,,0.0,False,开盘高开4.8% (>3%)，远离支撑，放弃当日入场,,0,True,开盘高开4.8% (>3%)，远离支撑，放弃当日入场,False,,False,,,,True
bj920415,2025-02-25,2025-02,UP,deep_pullback,19.90620988812899,20.71200848929763,20.59760498419344,dynamic_stop,0.040479760119940034,19.90620988812899,0.040479760119940034,False,触及支撑后未出现有效反转形态,,2,False,,False,,False,,,,True
