signal_idx,stock_code,t0_date,buy_price,month,trend,original_pnl,original_hold_days,original_exit_reason,baseline_pnl,baseline_days,baseline_reason,layered_pnl,layered_days,layered_reason,layered_layer
0,bj920152,2025-02-21,20.5,2025-02,RANGE,0.0782241014799152,1.0,dynamic_stop,-0.08,1,baseline_sl,0.24390243902439024,4,layered_tp,deep
1,bj920171,2025-02-21,27.51,2025-02,UP,0.1734506784011735,1.0,initial_tp,0.2,4,baseline_tp,0.30861504907306436,4,layered_tp,moderate
2,bj920249,2025-02-21,14.96,2025-02,UP,-0.0799999999999999,1.0,initial_stop,-0.08,2,baseline_sl,-0.11965240131724975,4,layered_sl,failure
6,bj920906,2025-02-21,25.67753272304481,2025-02,UP,0.0507533703409992,2.0,dynamic_stop,-0.08,6,baseline_sl,-0.10154920475986418,6,layered_sl,failure
10,bj920876,2025-02-21,27.926509186351705,2025-02,UP,0.1999999999999999,3.0,initial_tp,0.2,4,baseline_tp,0.4323308270676691,4,layered_tp,moderate
16,bj920152,2025-02-24,18.92,2025-02,UP,0.1999999999999999,1.0,initial_tp,0.2,3,baseline_tp,0.3477801268498941,3,layered_tp,shallow
23,bj920407,2025-02-24,21.39557843731072,2025-02,UP,0.0824540836264164,1.0,initial_stop,0.2,1,baseline_tp,0.3554202371751862,1,layered_tp,shallow
25,bj920924,2025-02-24,33.90312691539525,2025-02,UP,-0.0578222102134559,2.0,dynamic_stop,-0.08,5,baseline_sl,0.2942759285188392,7,layered_tp,deep
28,bj920184,2025-02-24,15.11785095320624,2025-02,UP,0.0971937029431897,3.0,initial_stop,-0.08,20,baseline_sl,-0.1076774197024899,20,layered_sl,failure
32,bj920415,2025-02-24,19.90620988812899,2025-02,UP,-0.0128022759601705,1.0,dynamic_stop,-0.08,19,baseline_sl,-0.14448803753439288,19,layered_sl,failure
34,bj920895,2025-02-24,15.68,2025-02,RANGE,0.0786724031960663,6.0,initial_stop,0.2,12,baseline_tp,0.38265308068723103,15,layered_tp,shallow
37,bj920146,2025-02-25,9.5,2025-02,UP,0.1986301369863015,8.0,initial_tp,-0.08,3,baseline_sl,0.18526318198756164,14,layered_tp,deep
43,bj920273,2025-02-25,20.760937890341808,2025-02,UP,0.0202131569276002,3.0,initial_stop,0.2,1,baseline_tp,0.4691051127410242,1,layered_tp,shallow
44,bj920010,2025-02-25,11.314991897583493,2025-02,RANGE,-0.0799999999999999,1.0,dynamic_stop,-0.08,4,baseline_sl,-0.10119245613724914,5,layered_sl,failure
45,bj920837,2025-02-25,14.642887936259491,2025-02,UP,-0.0799999999999999,1.0,dynamic_stop,-0.08,4,baseline_sl,0.34536307651151743,7,layered_tp,deep
46,bj920706,2025-02-25,18.342231601509653,2025-02,UP,0.1999999999999999,3.0,initial_tp,0.2,3,baseline_tp,0.41585821603174167,3,layered_tp,shallow
62,bj920924,2025-02-26,35.199422944513294,2025-02,UP,-0.0799999999999999,1.0,dynamic_stop,-0.08,2,baseline_sl,-0.12782658933547053,3,layered_sl,failure
72,bj920152,2025-02-27,24.0,2025-02,UP,0.0628019323671498,1.0,initial_stop,-0.08,1,baseline_sl,-0.10166668891906738,1,layered_sl,failure
75,bj920171,2025-02-27,33.12,2025-02,UP,0.1999999999999999,2.0,initial_tp,-0.08,1,baseline_sl,-0.13949275362318836,1,layered_sl,failure
78,bj920508,2025-02-27,31.90530391018196,2025-02,UP,0.0329113924050632,8.0,dynamic_stop,0.2,1,baseline_tp,0.37594682217927633,1,layered_tp,shallow
80,bj920026,2025-02-27,19.44792672675255,2025-02,RANGE,0.1999999999999999,1.0,initial_tp,0.2,1,baseline_tp,0.41968863819150837,1,layered_tp,shallow
87,bj920092,2025-02-27,57.27309218203035,2025-02,UP,0.0317872850859655,5.0,initial_stop,-0.08,1,baseline_sl,-0.11721194985252759,1,layered_sl,failure
88,bj920839,2025-02-27,24.640184225676453,2025-02,UP,0.1999999999999999,6.0,initial_tp,0.2,7,baseline_tp,0.1720691248189623,4,layered_tp,deep
91,bj920152,2025-02-28,22.04,2025-02,UP,0.0628019323671498,1.0,initial_stop,-0.08,1,baseline_sl,0.3053539227660469,12,layered_tp,deep
92,bj920455,2025-02-28,9.755678599867148,2025-02,RANGE,0.1999999999999999,1.0,initial_tp,0.2,3,baseline_tp,0.353058085517997,3,layered_tp,shallow
101,bj920508,2025-02-28,32.725512969415405,2025-02,UP,-0.0799999999999999,3.0,initial_stop,0.2,1,baseline_tp,0.49730273275760095,1,layered_tp,shallow
106,bj920299,2025-02-28,13.653665534170305,2025-02,UP,0.1999999999999999,1.0,initial_tp,0.2,2,baseline_tp,0.6208101117888838,3,layered_tp,shallow
114,bj920152,2025-03-03,20.81,2025-03,UP,0.0628019323671498,1.0,initial_stop,0.2,10,baseline_tp,0.20134550696780407,10,layered_tp,moderate
122,bj920810,2025-03-03,14.071428571428571,2025-03,UP,0.1999999999999999,1.0,initial_tp,0.2,1,baseline_tp,0.4838578083793523,1,layered_tp,shallow
141,bj920810,2025-03-04,13.928571428571429,2025-03,UP,0.1999999999999999,1.0,initial_tp,0.2,1,baseline_tp,0.42512823251577525,1,layered_tp,shallow
144,bj920651,2025-03-04,27.379898679792447,2025-03,RANGE,0.1999999999999997,6.0,initial_tp,0.2,9,baseline_tp,0.24470883656728826,9,layered_tp,moderate
145,bj920527,2025-03-04,18.54746205241308,2025-03,UP,0.0160804020100502,1.0,initial_stop,-0.08,13,baseline_sl,-0.14273987602192528,13,layered_sl,failure
151,bj920455,2025-03-05,11.204541758263256,2025-03,UP,-0.0799999999999999,1.0,initial_stop,0.2,1,baseline_tp,0.338742835148758,1,layered_tp,shallow
154,bj920906,2025-03-05,28.77312399413832,2025-03,UP,0.0175746924428823,1.0,initial_stop,0.2,10,baseline_tp,0.39018620321341624,10,layered_tp,deep
163,bj920145,2025-03-05,16.1,2025-03,UP,0.1999999999999999,6.0,initial_tp,0.2,8,baseline_tp,0.16770181596649358,5,layered_tp,deep
167,bj920541,2025-03-06,15.626952566172816,2025-03,UP,-0.0799999999999999,3.0,initial_stop,0.2,2,baseline_tp,0.2798400657651823,2,layered_tp,moderate
173,bj920152,2025-03-06,22.39,2025-03,UP,0.0628019323671498,1.0,initial_stop,-0.08,2,baseline_sl,-0.11165701698756425,3,layered_sl,failure
174,bj920837,2025-03-06,17.73427195456974,2025-03,UP,0.1999999999999999,1.0,initial_tp,0.2,3,baseline_tp,0.5044316661841268,4,layered_tp,shallow
182,bj920810,2025-03-06,13.692857142857145,2025-03,UP,-0.0799999999999999,1.0,initial_stop,0.2,1,baseline_tp,0.817005676842631,1,layered_tp,shallow
186,bj920001,2025-03-07,25.63877324739712,2025-03,UP,-0.0725806451612902,1.0,dynamic_stop,-0.08,8,baseline_sl,-0.18092804997477996,10,layered_sl,failure
191,bj920089,2025-03-07,13.142464849937747,2025-03,UP,-0.0449848024316108,4.0,dynamic_stop,0.2,1,baseline_tp,0.4000417599456185,1,layered_tp,shallow
195,bj920870,2025-03-07,21.62887641608017,2025-03,UP,-0.024040684234859,4.0,dynamic_stop,-0.08,9,baseline_sl,-0.1539089278139637,10,layered_sl,failure
196,bj920374,2025-03-07,42.90982244443047,2025-03,UP,-0.0221216691804927,3.0,dynamic_stop,-0.08,2,baseline_sl,-0.11232445200826446,4,layered_sl,failure
199,sh601177,2025-03-07,21.927432652421547,2025-03,UP,0.1069182389937108,3.0,initial_stop,-0.08,2,baseline_sl,-0.1294010358992167,4,layered_sl,failure
218,bj920300,2025-03-10,16.3,2025-03,UP,0.1999999999999999,1.0,initial_tp,0.2,3,baseline_tp,0.3165643610105924,5,layered_tp,shallow
224,bj920001,2025-03-11,27.155098066435297,2025-03,UP,-0.0799999999999999,4.0,dynamic_stop,-0.08,2,baseline_sl,-0.12576269424481734,2,layered_sl,failure
236,bj920145,2025-03-11,16.79,2025-03,UP,0.1999999999999999,2.0,initial_tp,0.2,4,baseline_tp,0.40738529843755833,4,layered_tp,moderate
239,bj920263,2025-03-11,16.41,2025-03,UP,0.0162601626016261,2.0,dynamic_stop,-0.08,2,baseline_sl,-0.11151737210810153,2,layered_sl,failure
241,bj920026,2025-03-12,25.70986329324404,2025-03,UP,0.0042583392476933,3.0,dynamic_stop,0.2,1,baseline_tp,0.5519336322711488,1,layered_tp,shallow
245,bj920006,2025-03-12,34.19634615159952,2025-03,UP,-0.0461703650680029,3.0,dynamic_stop,-0.08,3,baseline_sl,-0.1279770194562322,4,layered_sl,failure
