param_name,param_value,traded,filtered,expired,avg_pnl,win_rate,profit_factor,baseline_avg_pnl,pnl_improvement
max_wait_days,3.0,77,57,366,-0.001184,0.4416,0.97,-0.008698,0.007514
max_wait_days,5.0,100,57,343,-0.01047,0.4,0.77,-0.020613,0.010143
max_wait_days,7.0,117,57,326,-0.010238,0.4017,0.78,-0.026212,0.015974
stop_loss_atr_multiplier,0.8,100,57,343,-0.009602,0.4,0.79,-0.020613,0.011011
stop_loss_atr_multiplier,1.0,100,57,343,-0.01047,0.4,0.77,-0.020613,0.010143
stop_loss_atr_multiplier,1.5,100,57,343,-0.009716,0.41,0.79,-0.020613,0.010897
stop_loss_atr_multiplier,2.0,100,57,343,-0.009716,0.41,0.79,-0.020613,0.010897
tp1_reduce_ratio,0.3,100,57,343,-0.010721,0.4,0.77,-0.020613,0.009892
tp1_reduce_ratio,0.5,100,57,343,-0.01047,0.4,0.77,-0.020613,0.010143
tp1_reduce_ratio,0.7,100,57,343,-0.010281,0.4,0.78,-0.020613,0.010332
max_stop_loss_pct,0.05,100,57,343,-0.003917,0.32,0.88,-0.020613,0.016696
max_stop_loss_pct,0.08,100,57,343,-0.01047,0.4,0.77,-0.020613,0.010143
max_stop_loss_pct,0.12,100,57,343,-0.008479,0.47,0.85,-0.020613,0.012134
