signal_idx,stock_code,t0_date,status,max_drawdown,trend_smoothness,trend_slope,n_future_bars,final_return,raw_cluster,path_label,path_label_name
0,bj920152,2025-02-21,traded,0.20750785977454173,0.18386418860583476,0.005289881161969834,22,0.08241212705702528,1.0,0.0,Smooth
1,bj920171,2025-02-21,traded,0.2111111217074924,0.4333550282671499,0.009438551167739251,22,0.18010163106698207,2.0,1.0,Pullback
2,bj920249,2025-02-21,traded,0.3383928594996735,0.059717571452330254,0.004422159940024127,22,0.023335632100848436,1.0,0.0,Smooth
3,bj920092,2025-02-21,filtered,0.25383356855225764,0.23020647734583177,-0.005416798754165876,22,-0.10168485610576505,1.0,0.0,Smooth
4,bj920130,2025-02-21,expired,0.38464287349155973,0.5966392130308887,0.0361666914030119,22,0.5806601412466577,0.0,2.0,Failure
5,bj920395,2025-02-21,expired,0.21748872825344506,0.007647827348683189,-0.000831149842241682,22,-0.022539848013993002,1.0,0.0,Smooth
6,bj920906,2025-02-21,traded,0.32775001525878905,0.2909450156255826,0.007097911531370497,22,0.06925207630783192,2.0,1.0,Pullback
7,bj920522,2025-02-21,expired,0.24476608036933448,0.02666037440356983,-0.001554456190945935,22,0.015944508783026334,1.0,0.0,Smooth
8,bj920627,2025-02-21,filtered,0.2492699213890805,0.0027308919728535885,0.0008412286934310047,22,0.08342774673146036,1.0,0.0,Smooth
9,bj920556,2025-02-21,expired,0.20904371702524302,0.004617438750728398,-0.0007633724442718814,22,-0.11463413215832385,1.0,0.0,Smooth
10,bj920876,2025-02-21,traded,0.3026285561358103,0.02228524884498484,-0.0022904262289762385,22,0.02413433124781439,1.0,0.0,Smooth
11,bj920953,2025-02-21,expired,0.21979860538945292,0.0038272105477470397,-0.0005293030783470812,22,-0.1032787217860065,1.0,0.0,Smooth
12,bj920790,2025-02-21,operable_filtered,0.23279998779296876,0.4980686340730537,-0.0073025685030974705,22,-0.16203708531566952,2.0,1.0,Pullback
13,bj920207,2025-02-21,filtered,0.36808703908153984,0.3571390247023838,-0.010277710458952287,22,-0.034208699130917286,2.0,1.0,Pullback
14,bj920924,2025-02-21,expired,0.3446919877689703,0.2797245253238352,-0.005335289418913728,22,-0.2102150925212759,2.0,1.0,Pullback
15,bj920932,2025-02-21,filtered,0.2593301519244281,0.017704909172955197,0.0014419847452974536,22,0.02499997615814209,1.0,0.0,Smooth
16,bj920152,2025-02-24,traded,0.21689258504805764,0.10813648903108575,0.0038993312104814368,22,0.10430377042746253,1.0,0.0,Smooth
17,sz002527,2025-02-24,expired,0.2678571376439087,0.6941017006078942,-0.010553741398441393,22,-0.17640631548047325,0.0,2.0,Failure
18,bj920662,2025-02-24,expired,0.270718257952142,0.09485958225772617,-0.0037040808963359805,22,-0.14983389274833026,1.0,0.0,Smooth
19,bj920855,2025-02-24,expired,0.22029703807796538,0.2561895816364036,-0.004179939984863587,22,-0.12179205154138906,2.0,1.0,Pullback
20,bj920491,2025-02-24,expired,0.24988237268784466,0.6671622116833527,-0.008245016816539259,22,-0.19161370522383792,0.0,2.0,Failure
21,bj920207,2025-02-24,breakout_support_filtered,0.36808703908153984,0.6262727431575055,-0.014129351001122522,22,-0.11147539732886147,0.0,2.0,Failure
22,bj920978,2025-02-24,breakout_support_filtered,0.17318842828186107,0.004149789280670446,0.0004070207707239304,22,0.11403505682155402,1.0,0.0,Smooth
23,bj920407,2025-02-24,traded,0.262152807097191,0.0012336297458713785,0.0004098389031492459,22,-0.07384277294583552,1.0,0.0,Smooth
24,bj920556,2025-02-24,expired,0.20904371702524302,0.012105417070334301,-0.0012688440151830398,22,-0.08848802888879326,1.0,0.0,Smooth
25,bj920924,2025-02-24,traded,0.3172288433182684,0.31313707883883013,-0.006086131394911697,22,-0.1788526536764573,2.0,1.0,Pullback
26,bj920363,2025-02-24,expired,0.2927864386706158,0.018419589404122916,0.0016702830138318444,22,0.008547012645079288,1.0,0.0,Smooth
27,bj920693,2025-02-24,filtered,0.15917263879495083,0.0003921506739632541,0.00017094541902979912,22,-0.0894832254957093,1.0,0.0,Smooth
28,bj920184,2025-02-24,traded,0.17782909803551897,0.0068451608503403705,-0.000749960727404717,22,-0.06298696995987751,1.0,0.0,Smooth
29,sh600590,2025-02-24,filtered,0.3092369065684875,0.02483125807852904,0.0026269580769568927,21,-0.008908677926962594,1.0,0.0,Smooth
30,bj920010,2025-02-24,filtered,0.3014851918934287,0.4707202004405001,0.01762909515654492,22,0.2012195567707058,2.0,1.0,Pullback
31,bj920593,2025-02-24,expired,0.26323320635503444,0.5591409659671767,-0.008581013701968431,22,-0.18853213369078714,2.0,1.0,Pullback
32,bj920415,2025-02-24,traded,0.2276964452626939,0.5467628105294486,-0.008871347795569022,22,-0.1832460894587351,2.0,1.0,Pullback
33,bj920706,2025-02-24,expired,0.2779893785522643,0.15020669757249794,-0.004772686507119211,22,0.019311108673279787,1.0,0.0,Smooth
34,bj920895,2025-02-24,traded,0.2518450606533338,0.06561368047646965,0.002791150790246417,22,0.07788162363981077,1.0,0.0,Smooth
35,sz002599,2025-02-24,expired,0.30273972334300725,0.5157655744877694,-0.009036199032347328,22,-0.22959567917871404,2.0,1.0,Pullback
36,bj920152,2025-02-25,expired,0.21689258504805764,0.046930892380368294,0.002431412031320413,22,0.1233435256258888,1.0,0.0,Smooth
37,bj920146,2025-02-25,traded,0.2140319536788706,0.012885857063551387,-0.0010951681994834134,22,-0.08315789072137125,1.0,0.0,Smooth
38,bj920395,2025-02-25,filtered,0.21748872825344506,0.07183269319096697,-0.0026227699136775534,22,-0.0781491207270244,1.0,0.0,Smooth
39,sz002527,2025-02-25,expired,0.25839792772242964,0.6494821302532965,-0.00931148062260409,22,-0.18806306923106253,0.0,2.0,Failure
40,bj920855,2025-02-25,expired,0.1670339720723481,0.2147332732633338,-0.0035715618941918586,22,-0.10045865611710347,1.0,0.0,Smooth
41,bj920663,2025-02-25,expired,0.34210526315789475,0.30523470386149276,-0.00616459030595432,22,-0.09119203883511284,2.0,1.0,Pullback
42,bj920207,2025-02-25,filtered,0.3699002740235797,0.8432044870212799,-0.017251245009768906,22,-0.2691891644452069,0.0,2.0,Failure
43,bj920273,2025-02-25,traded,0.15795906350754252,0.23413293975973481,0.005365145419657063,22,0.1781707482371131,1.0,0.0,Smooth
44,bj920010,2025-02-25,traded,0.30940597611961834,0.3683674613943817,0.015243266282320974,22,0.1688888549804688,2.0,1.0,Pullback
45,bj920837,2025-02-25,traded,0.3294603004116956,0.22475761865383237,0.012738626976507081,22,0.25384102357728766,1.0,0.0,Smooth
46,bj920706,2025-02-25,traded,0.2779893785522643,0.2912978668812478,-0.006747562048211844,22,0.014673938226159589,2.0,1.0,Pullback
47,bj920378,2025-02-25,expired,0.24324323163289094,0.22635854499641272,0.006216851538195819,22,0.010623270072261048,1.0,0.0,Smooth
48,bj920493,2025-02-25,operable_filtered,0.2963070691373833,0.7387652722328306,-0.011948579709349124,22,-0.2665658410940682,0.0,2.0,Failure
49,bj920895,2025-02-25,operable_filtered,0.2518450606533338,0.040213072253207804,0.0021063300119837304,22,0.12630297000270252,1.0,0.0,Smooth
50,bj920510,2025-02-25,operable_filtered,0.2118055081845789,0.0058818134579685655,-0.0007833061472267465,22,-0.03280685928595639,1.0,0.0,Smooth
51,bj920454,2025-02-25,operable_filtered,0.30304344840671704,0.0006217160290642454,-0.00030466316873854836,22,-0.01882206914793394,1.0,0.0,Smooth
52,bj920834,2025-02-25,operable_filtered,0.19782778299581721,0.2455633901932205,0.007144835526674679,22,0.36479842775959304,1.0,0.0,Smooth
53,bj920570,2025-02-25,operable_filtered,0.2607348243207142,0.7082907755404573,0.021304490581453166,22,0.25367267194633336,0.0,2.0,Failure
54,bj920152,2025-02-26,breakout_support_filtered,0.2356621681879711,0.0005039653563508883,0.00023700597836364185,22,-0.17254900464824596,1.0,0.0,Smooth
55,bj920690,2025-02-26,expired,0.2423755804019099,0.06507157012273779,-0.0022325767970902254,22,-0.092549987328291,1.0,0.0,Smooth
56,bj920395,2025-02-26,filtered,0.21748872825344506,0.11817413429399148,-0.003534457082830398,22,-0.08488065512415521,1.0,0.0,Smooth
