signal_idx,stock_code,t0_date,actual_bottom,entry_price,best_timeframe,best_n,best_double_smooth,best_k,best_offset,best_gt_t0,best_abs_dist_pct,best_dist_pct,best_covered,daily_rail_overlap,daily_best_abs_dist_pct,hourly_best_abs_dist_pct,fixed_gt_t0,fixed_abs_dist_pct,fixed_dist_pct,fixed_covered
0,bj920152,2025-02-21,18.520000457763675,20.5,hourly,10,False,0.5,1.02,17.1713,0.0728,0.0785,True,False,0.2374,0.0728,11.7398,0.3661,0.5775,True
1,bj920171,2025-02-21,26.000000000000004,27.51000022888184,hourly,15,True,0.5,1.02,25.4927,0.0195,0.0199,True,False,0.1197,0.0195,18.0299,0.3065,0.442,True
2,bj920249,2025-02-21,13.0,14.960000038146973,hourly,10,True,1.5,0.95,12.981,0.0015,0.0015,True,False,0.003,0.0015,9.589,0.2624,0.3557,True
3,bj920092,2025-02-21,42.79999923706055,52.0,daily,15,False,0.5,1.02,42.7843,0.0004,0.0004,True,False,0.0004,0.0005,33.5374,0.2164,0.2762,True
4,bj920130,2025-02-21,19.450000762939453,21.799999237060547,hourly,10,True,1.5,0.95,19.4513,0.0001,-0.0001,False,False,0.0053,0.0001,15.7508,0.1902,0.2349,True
5,bj920395,2025-02-21,16.54999923706055,18.479999542236328,daily,10,False,0.5,1.02,16.5555,0.0003,-0.0003,False,False,0.0003,0.1339,13.1718,0.2041,0.2565,True
6,bj920906,2025-02-21,23.069999694824222,25.8799991607666,hourly,20,False,0.5,0.98,23.0837,0.0006,-0.0006,False,False,0.0707,0.0006,17.6938,0.233,0.3038,True
7,bj920522,2025-02-21,56.119998931884766,60.0,daily,10,False,0.5,1.02,51.0457,0.0904,0.0994,True,False,0.0904,0.4894,42.4593,0.2434,0.3217,True
8,bj920627,2025-02-21,25.530000686645508,26.57999992370605,hourly,20,False,0.5,0.98,25.5362,0.0002,-0.0002,False,False,0.0588,0.0002,19.3781,0.241,0.3175,True
9,bj920556,2025-02-21,9.899999618530273,11.880000114440918,hourly,25,True,1.0,0.95,9.9028,0.0003,-0.0003,False,False,0.0052,0.0003,7.4016,0.2524,0.3376,True
