signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
2889,bj920152,2025-10-23,high_zone,5~10%,0.7382,bull_aligned,18.3724,6.0,transition,simulated,18.3724,23.836,5.0,28.1265,21.4524,28.1265,6.0,tp,0.180001,18.3724,3.3731,19.0,1.695,0.95,1.5,0.03,,,,,22.8,4.0,32.3,21.0,23.27,5.0,28.78,6.0,60m
60,bj920171,2025-02-26,high_zone,5~10%,0.7927,bull_aligned,15.0142,4.0,transition,simulated,15.0142,30.7793,11.0,36.3196,27.7014,36.3196,11.0,tp,0.18,15.0142,7.9944,24.0,2.0,0.95,1.5,0.03,,,,,26.07,2.0,38.87,11.0,30.06,11.0,38.87,11.0,60m
270,bj920130,2025-03-13,high_zone,>20%,0.7598,bull_aligned,15.3985,4.0,transition,simulated,15.3985,34.2267,11.0,40.3875,30.804,40.3875,11.0,tp,0.180001,15.3985,6.5863,19.0,2.0,0.95,1.5,0.03,,,,,25.2,15.0,49.5,0.0,32.0,11.0,41.8,11.0,60m
353,bj920130,2025-03-20,main_wave,>20%,0.5907,bull_aligned,16.8844,4.0,transition,simulated,16.8844,34.2267,6.0,40.3875,30.804,40.3875,6.0,tp,0.180001,16.8844,10.0459,18.0,2.0,0.95,2.0,0.03,,,,,25.2,10.0,42.99,8.0,32.0,6.0,41.8,6.0,60m
427,bj920130,2025-03-26,main_wave,>20%,0.5277,bull_aligned,18.4658,5.0,transition,simulated,18.4658,32.3347,10.0,38.1549,29.1012,33.37,12.0,kdj_exit,0.032019,18.4658,11.7051,18.0,2.0,0.95,2.0,0.03,,,,,25.2,6.0,42.99,4.0,31.01,10.0,35.96,12.0,60m
487,bj920130,2025-03-31,main_wave,>20%,0.5084,bull_aligned,19.9653,5.0,transition,simulated,19.9653,32.3347,7.0,38.1549,29.1012,33.37,9.0,kdj_exit,0.032019,19.9653,12.3528,18.0,2.0,0.95,2.0,0.03,,,,,25.2,3.0,42.99,1.0,31.01,7.0,35.96,9.0,60m
154,bj920906,2025-03-05,high_zone,>20%,0.7057,bull_aligned,15.7851,4.0,transition,simulated,15.7851,28.6061,8.0,33.7552,25.7455,33.7552,9.0,tp,0.18,15.7851,6.5671,21.0,2.0,0.95,1.5,0.03,,,,,17.0654,21.0,39.6871,9.0,27.7512,8.0,39.6871,9.0,60m
2480,bj920906,2025-09-12,main_wave,15~20%,0.5377,bull_aligned,20.0305,6.0,transition,simulated,20.0305,32.3526,1.0,38.1761,29.1174,35.1507,2.0,kdj_exit,0.086488,20.0305,7.694,20.0,2.0,0.95,2.0,0.03,,,,,27.324,18.0,36.505,3.0,32.263,1.0,35.7283,2.0,60m
8,bj920627,2025-02-21,main_wave,3~5%,0.6586,bull_aligned,16.2765,4.0,transition,simulated,16.2765,27.1356,3.0,32.02,24.422,32.02,4.0,tp,0.180001,16.2765,6.5235,23.0,2.0,0.95,2.0,0.03,,,,,25.3549,1.0,37.4116,5.0,26.4771,3.0,32.0784,4.0,60m
758,bj920953,2025-04-22,main_wave,5~10%,0.5194,neutral,26.4903,4.0,transition,simulated,26.4903,35.147,5.0,41.4735,31.6323,41.4735,6.0,tp,0.18,26.4903,10.3078,21.0,2.0,0.95,2.0,0.03,,,,,33.8461,1.0,43.0549,7.0,34.9421,5.0,41.902,6.0,60m
3947,bj920207,2026-01-23,main_wave,15~20%,0.3008,bull_aligned,18.4823,6.0,transition,simulated,18.4823,31.1218,3.0,36.7237,28.0096,28.0096,12.0,sl,-0.1,18.4823,8.112,20.0,2.0,0.95,2.0,0.03,,,,,27.7915,12.0,39.6666,21.0,27.7915,12.0,35.1375,3.0,60m
3597,bj920363,2025-12-22,main_wave,5~10%,0.3629,neutral,12.153,4.0,transition,simulated,12.153,15.394,2.0,18.1649,13.8546,14.4318,5.0,ma_support_break,-0.0625,12.153,2.3855,22.0,1.73,0.95,2.0,0.03,,,,,14.3938,6.0,17.6228,12.0,14.4014,5.0,16.2748,2.0,60m
1651,bj920184,2025-07-08,main_wave,5~10%,0.6117,bull_aligned,12.1265,6.0,transition,simulated,12.1265,19.294,10.0,22.7669,17.3646,22.7669,10.0,tp,0.179998,12.1265,3.3152,19.0,2.0,0.95,2.0,0.03,,,,,16.7436,1.0,26.0523,12.0,18.7858,10.0,22.7908,10.0,60m
1715,bj920184,2025-07-14,high_trap,10~15%,0.8362,bull_aligned,12.232,6.0,transition,simulated,12.232,19.294,6.0,22.7669,17.3646,22.7669,6.0,tp,0.179998,12.232,3.9145,19.0,2.0,0.95,2.0,0.03,,,,,18.3496,3.0,26.0523,8.0,18.7858,6.0,22.7908,6.0,60m
