zone_tag,dd_tier,n,entry_trigger,tp_pct,sl_pct,avg_atr20_pct,rebound_p80,rebound_gt5_pct,enabled
abyss_bottom,>20%,38,-0.03,0.1707,0.1138,0.0759,0.2999,0.8947,False
abyss_bottom,15~20%,28,-0.03,0.1802,0.1201,0.0801,0.2108,0.5357,True
abyss_bottom,10~15%,37,-0.03,0.1388,0.1246,0.0831,0.3892,0.8378,True
abyss_bottom,5~10%,35,-0.03,0.12,0.0968,0.0645,0.3627,0.8286,True
abyss_bottom,3~5%,16,-0.03,0.1627,0.1137,0.0758,0.3696,0.9375,True
abyss_bottom,0~3%,26,-0.03,0.2636,0.1017,0.0678,0.6266,1.0,True
bottom_start,>20%,10,-0.03,0.1601,0.1068,0.0712,0.1972,0.6,False
bottom_start,15~20%,9,-0.03,0.1246,0.0831,0.0554,0.424,0.7778,False
bottom_start,10~15%,22,-0.03,0.1631,0.1087,0.0725,0.3539,0.7727,True
bottom_start,5~10%,20,-0.03,0.1761,0.1174,0.0783,0.4389,0.9,True
bottom_start,3~5%,2,-0.03,0.1791,0.0887,0.0591,0.4355,1.0,False
bottom_start,0~3%,10,-0.03,0.21,0.1244,0.0829,0.3816,1.0,True
main_wave,>20%,390,-0.1,0.1782,0.1188,0.0792,0.439,0.8231,False
main_wave,15~20%,265,-0.1,0.1769,0.1179,0.0786,0.3069,0.7774,True
main_wave,10~15%,280,-0.088,0.131,0.1139,0.0759,0.4084,0.85,True
main_wave,5~10%,231,-0.0529,0.1754,0.1159,0.0772,0.5121,0.9524,True
main_wave,3~5%,80,-0.03,0.2297,0.1196,0.0797,0.6507,0.9375,True
main_wave,0~3%,69,-0.03,0.2389,0.1218,0.0812,0.6548,1.0,True
high_zone,>20%,221,-0.05,0.172,0.1147,0.0765,0.426,0.8371,False
high_zone,15~20%,118,-0.05,0.1594,0.1062,0.0708,0.3086,0.839,True
high_zone,10~15%,132,-0.05,0.108,0.1023,0.0682,0.3787,0.8182,True
high_zone,5~10%,99,-0.05,0.1984,0.1004,0.067,0.5697,0.9091,True
high_zone,3~5%,21,-0.05,0.1796,0.1115,0.0743,0.649,0.9048,True
high_zone,0~3%,28,-0.05,0.2677,0.0977,0.0651,0.7197,0.9643,True
high_trap,>20%,953,-0.05,0.1351,0.0901,0.06,0.3557,0.7817,False
high_trap,15~20%,402,-0.05,0.1024,0.0825,0.055,0.4024,0.8259,False
high_trap,10~15%,371,-0.05,0.1242,0.0825,0.055,0.4987,0.8652,False
high_trap,5~10%,267,-0.05,0.2165,0.0844,0.0563,0.6234,0.9288,False
high_trap,3~5%,105,-0.05,0.2615,0.0837,0.0558,0.7199,0.9524,False
high_trap,0~3%,118,-0.05,0.3037,0.0822,0.0548,0.8991,0.9746,False
