zone_tag,dd_tier,n,avg_atr20_pct,entry_buffer,sl_buffer,tp_mult,gt_ratio,rebound_gt5_pct,avg_support_score,avg_dist_ma90,main_trend_pct,enabled
abyss_bottom,>20%,38,0.0758,0.03,0.03,3.0,1.0069,0.8947,0.45,-0.3567,0.0,True
abyss_bottom,15~20%,28,0.0801,0.03,0.03,3.0,1.0151,0.5357,0.54,-0.3633,0.0,True
abyss_bottom,10~15%,37,0.0831,0.03,0.03,3.0,0.9968,0.8378,0.43,-0.3949,0.0,True
abyss_bottom,5~10%,35,0.0645,0.03,0.03,3.0,0.9975,0.8286,0.51,-0.331,0.0,True
abyss_bottom,3~5%,16,0.0758,0.03,0.03,3.0,0.9564,0.9375,0.44,-0.357,0.0,True
abyss_bottom,0~3%,26,0.0678,0.03,0.03,3.0,1.0612,1.0,0.42,-0.3429,0.0,True
bottom_start,>20%,10,0.0712,0.03,0.03,2.5,0.8177,0.6,2.0,-0.1023,0.2,True
bottom_start,15~20%,9,0.0554,0.03,0.03,2.5,0.807,0.7778,2.44,-0.0125,0.4444,True
bottom_start,10~15%,22,0.0725,0.03,0.03,2.5,0.8268,0.7727,2.23,-0.05,0.2273,True
bottom_start,5~10%,20,0.0783,0.03,0.03,2.5,0.8435,0.9,2.0,-0.1275,0.1,True
bottom_start,3~5%,2,0.0591,0.03,0.03,2.5,0.9468,1.0,1.5,-0.1172,0.0,True
bottom_start,0~3%,10,0.0829,0.03,0.03,2.5,0.8575,1.0,2.3,-0.0552,0.3,True
main_wave,>20%,390,0.0792,0.03,0.03,2.0,0.703,0.8231,4.82,0.2566,0.9385,True
main_wave,15~20%,265,0.0786,0.03,0.03,2.0,0.7092,0.7774,5.12,0.2431,0.9358,True
main_wave,10~15%,280,0.0759,0.03,0.03,2.0,0.7137,0.85,4.99,0.213,0.9179,True
main_wave,5~10%,231,0.0772,0.03,0.03,2.0,0.7299,0.9524,4.85,0.2094,0.9307,True
main_wave,3~5%,80,0.0797,0.03,0.03,2.0,0.7382,0.9375,4.59,0.1844,0.825,True
main_wave,0~3%,69,0.0812,0.03,0.03,2.0,0.747,1.0,4.78,0.2096,0.8696,True
high_zone,>20%,221,0.0765,0.03,0.03,1.5,0.6357,0.8371,5.25,0.541,1.0,True
high_zone,15~20%,118,0.0708,0.03,0.03,1.5,0.6543,0.839,5.65,0.4438,1.0,True
high_zone,10~15%,132,0.0682,0.03,0.03,1.5,0.661,0.8182,5.64,0.4501,1.0,True
high_zone,5~10%,99,0.067,0.03,0.03,1.5,0.6701,0.9091,5.61,0.4071,1.0,True
high_zone,3~5%,21,0.0743,0.03,0.03,1.5,0.6416,0.9048,5.76,0.4235,1.0,True
high_zone,0~3%,28,0.0651,0.03,0.03,1.5,0.6781,0.9643,5.64,0.3524,1.0,True
high_trap,>20%,953,0.06,0.03,0.03,2.0,0.5576,0.7817,5.62,0.7383,1.0,True
high_trap,15~20%,402,0.055,0.03,0.03,2.0,0.6002,0.8259,5.78,0.6237,1.0,True
high_trap,10~15%,371,0.055,0.03,0.03,2.0,0.6106,0.8652,5.85,0.5991,1.0,True
high_trap,5~10%,267,0.0563,0.03,0.03,2.0,0.6213,0.9288,5.89,0.6057,1.0,True
high_trap,3~5%,105,0.0558,0.03,0.03,2.0,0.6198,0.9524,5.88,0.6234,1.0,True
high_trap,0~3%,118,0.0548,0.03,0.03,2.0,0.6363,0.9746,5.88,0.5771,1.0,True
