n,double_smooth,k,offset_coef,valid_signals,coverage,mean_dist,median_dist,mean_penetration,penetration_rate,score
10,False,1.5,0.95,4404,0.891,0.2367,0.2246,0.1036,0.109,0.6538
15,False,1.0,0.95,4404,0.8651,0.196,0.1862,0.1132,0.1349,0.6511
15,False,1.5,0.95,4404,0.9051,0.2642,0.2506,0.1113,0.0949,0.651
10,False,1.5,0.98,4404,0.861,0.1988,0.1871,0.1061,0.139,0.6497
15,False,1.5,0.98,4404,0.8794,0.2255,0.2123,0.1123,0.1206,0.6496
20,False,1.0,0.95,4404,0.8797,0.2227,0.2109,0.1192,0.1203,0.6492
10,False,1.0,0.95,4404,0.8374,0.1637,0.1586,0.1059,0.1626,0.6484
15,False,1.5,1.0,4404,0.8619,0.201,0.188,0.1148,0.1381,0.6477
20,False,1.5,0.98,4404,0.8928,0.2484,0.2309,0.1217,0.1072,0.6475
20,False,1.5,1.0,4404,0.8749,0.2235,0.2063,0.1207,0.1251,0.6463
25,False,1.0,0.95,4404,0.8903,0.2455,0.2309,0.1263,0.1097,0.6463
20,False,1.5,0.95,4404,0.9126,0.2879,0.2698,0.1188,0.0874,0.6462
20,False,1.0,0.98,4404,0.8481,0.1852,0.1738,0.1186,0.1519,0.6448
10,True,1.0,0.95,4404,0.881,0.2387,0.2238,0.1244,0.119,0.644
25,False,1.5,1.0,4404,0.8849,0.2432,0.2247,0.1282,0.1151,0.6439
20,False,1.5,1.02,4404,0.8556,0.1995,0.1827,0.1209,0.1444,0.6438
25,False,1.5,0.98,4404,0.9003,0.2685,0.2496,0.129,0.0997,0.6438
25,False,1.0,0.98,4404,0.8613,0.2074,0.1932,0.124,0.1387,0.6436
10,False,1.5,1.0,4404,0.8331,0.1748,0.1634,0.1049,0.1669,0.6431
10,True,1.5,0.98,4404,0.8919,0.2604,0.243,0.1255,0.1081,0.6427
30,False,1.0,0.95,4404,0.8976,0.2656,0.247,0.1331,0.1024,0.6425
25,False,0.5,0.95,4404,0.8465,0.189,0.1763,0.1216,0.1535,0.6422
20,False,0.5,0.95,4404,0.8295,0.1647,0.1553,0.1168,0.1705,0.642
10,True,1.5,1.0,4404,0.8747,0.2352,0.2181,0.1247,0.1253,0.6418
15,False,1.0,0.98,4404,0.8233,0.1594,0.1499,0.1105,0.1767,0.6418
25,False,1.5,1.02,4404,0.8642,0.2188,0.2006,0.1245,0.1358,0.6416
30,False,1.0,0.98,4404,0.8708,0.2269,0.2088,0.1296,0.1292,0.6414
25,False,1.5,0.95,4404,0.9196,0.3086,0.2891,0.1298,0.0804,0.6413
15,False,1.5,1.02,4404,0.8333,0.1775,0.1647,0.1112,0.1667,0.6412
10,True,1.5,0.95,4404,0.9117,0.3002,0.2822,0.1238,0.0883,0.641
30,False,0.5,0.95,4404,0.8574,0.2102,0.1951,0.1255,0.1426,0.6405
30,False,1.5,1.0,4404,0.8906,0.2608,0.241,0.1336,0.1094,0.6403
30,False,1.5,1.02,4404,0.8747,0.2361,0.2167,0.1328,0.1253,0.6399
25,False,1.0,1.0,4404,0.8386,0.1832,0.1694,0.1229,0.1614,0.6397
10,True,1.0,0.98,4404,0.8485,0.2008,0.1863,0.122,0.1515,0.6396
30,False,1.5,0.98,4404,0.9055,0.2866,0.2664,0.136,0.0945,0.6396
30,False,1.0,1.0,4404,0.8504,0.2023,0.1846,0.1283,0.1496,0.6388
10,True,1.5,1.02,4404,0.8531,0.2109,0.1942,0.1226,0.1469,0.6387
20,False,1.0,1.0,4404,0.8188,0.1615,0.1503,0.1157,0.1812,0.6378
10,True,0.5,0.95,4404,0.8338,0.1837,0.1721,0.1216,0.1662,0.6375
15,False,0.5,0.95,4404,0.8006,0.1359,0.1303,0.1112,0.1994,0.6373
30,False,1.5,0.95,4404,0.9223,0.3272,0.3063,0.136,0.0777,0.6358
30,False,1.0,1.02,4404,0.8286,0.1787,0.1614,0.1282,0.1714,0.635
10,False,1.5,1.02,4404,0.8015,0.1518,0.1406,0.1045,0.1985,0.6343
15,True,1.0,0.98,4404,0.874,0.2528,0.2295,0.1357,0.126,0.634
10,True,1.0,1.0,4404,0.822,0.1768,0.1626,0.1202,0.178,0.6339
15,True,1.0,0.95,4404,0.8987,0.2924,0.2683,0.1389,0.1013,0.6339
15,True,1.5,1.0,4404,0.8937,0.2819,0.2549,0.1427,0.1063,0.6338
30,False,0.5,0.98,4404,0.8211,0.1732,0.1585,0.1242,0.1789,0.6337
15,True,0.5,0.95,4404,0.8653,0.2407,0.2184,0.134,0.1347,0.6337
25,False,1.0,1.02,4404,0.812,0.16,0.1464,0.1217,0.188,0.6336
10,False,1.0,0.98,4404,0.7854,0.1281,0.1231,0.1043,0.2146,0.6334
25,False,0.5,0.98,4404,0.8068,0.1526,0.1403,0.121,0.1932,0.6334
15,True,1.5,1.02,4404,0.8751,0.2568,0.2303,0.1372,0.1249,0.6331
15,False,1.0,1.0,4404,0.7904,0.1362,0.1269,0.1095,0.2096,0.6324
15,True,1.5,0.98,4404,0.9024,0.3081,0.2805,0.137,0.0976,0.6314
15,True,1.0,1.0,4404,0.8522,0.2278,0.2049,0.1318,0.1478,0.6314
20,False,1.0,1.02,4404,0.7897,0.1388,0.1278,0.116,0.2103,0.63
20,False,0.5,0.98,4404,0.7797,0.1291,0.1199,0.1148,0.2203,0.6282
10,True,1.0,1.02,4404,0.7965,0.1537,0.1398,0.1216,0.2035,0.6279
15,True,1.0,1.02,4404,0.8299,0.2037,0.1813,0.1306,0.1701,0.6277
15,True,0.5,0.98,4404,0.8288,0.2027,0.1811,0.1294,0.1712,0.6277
15,True,1.5,0.95,4404,0.9203,0.3494,0.321,0.1385,0.0797,0.6276
30,False,0.5,1.0,4404,0.7931,0.1497,0.1354,0.1237,0.2069,0.6269
10,True,0.5,0.98,4404,0.7877,0.1475,0.1362,0.1196,0.2123,0.6257
20,True,1.0,0.98,4404,0.8871,0.2944,0.2595,0.1483,0.1129,0.6256
20,True,0.5,0.95,4404,0.8801,0.2853,0.2526,0.1446,0.1199,0.6255
10,False,0.5,0.95,4404,0.7539,0.1003,0.097,0.1067,0.2461,0.6255
20,True,1.0,1.0,4404,0.8694,0.2685,0.2344,0.1443,0.1306,0.6253
20,True,1.5,1.02,4404,0.8865,0.2946,0.2564,0.1497,0.1135,0.6249
20,True,0.5,0.98,4404,0.851,0.246,0.2142,0.1403,0.149,0.6237
20,True,1.0,1.02,4404,0.8497,0.2437,0.2101,0.1412,0.1503,0.6235
