signal_idx,stock_code,t0_date,zone_tag,entry_day,exit_day,entry_price,pnl,exit_reason,bar_offset,bar_idx,is_peak,bar_close,bar_high,bar_low,ma7,ma30,rsi6,rsi12,rsi24,rsi_aligned,kdj_k,kdj_d,kdj_j,j_above_d,macd_dif,macd_dea,macd_hist
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,-5,40,False,20.92,21.7,20.7,20.5329,20.955,58.38,50.94,52.27,False,19.29,15.62,26.62,True,-0.2386,-0.242,0.0066
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,-4,41,False,21.75,21.99,20.92,20.6786,21.0013,73.24,60.07,56.29,True,34.85,25.23,54.08,True,-0.066,-0.1917,0.2514
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,-3,42,False,21.9,22.42,21.83,20.8,21.053,75.16,61.49,56.98,True,44.66,34.94,64.09,True,0.0771,-0.1149,0.384
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,-2,43,False,21.78,22.01,21.38,21.0143,21.084,70.31,59.64,56.24,True,47.94,41.44,60.93,True,0.161,-0.036,0.3941
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,-1,44,False,21.82,21.82,21.55,21.2314,21.1063,71.06,60.08,56.44,True,50.12,45.78,58.8,True,0.2223,0.0378,0.3691
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,0,45,True,21.78,22.8,21.12,21.4614,21.131,68.97,59.38,56.18,True,50.67,48.23,55.56,True,0.2559,0.1001,0.3117
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,1,46,False,22.35,22.5,21.49,21.7571,21.169,79.33,65.6,59.01,True,58.67,53.45,69.11,True,0.3494,0.1713,0.3561
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,2,47,False,22.0,22.42,21.8,21.9114,21.2077,63.67,59.5,56.66,True,57.93,55.69,62.4,True,0.3624,0.2259,0.273
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,3,48,False,21.74,22.1,21.4,21.91,21.2307,54.14,55.33,54.97,False,54.03,54.86,52.37,False,0.3302,0.2557,0.1489
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,4,49,False,22.0,22.08,21.68,21.9243,21.2587,61.12,58.5,56.33,True,55.61,55.23,56.35,True,0.3349,0.2783,0.1131
72,bj920152,2025-02-27,high_zone,5,12,21.6923,0.180002,tp,5,50,False,21.57,22.0,20.72,21.8943,21.293,46.94,51.86,53.54,False,50.57,52.9,45.9,False,0.275,0.2774,-0.0048
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,-5,41,False,26.8,27.38,26.12,26.7586,23.106,64.74,66.72,64.13,False,76.49,76.55,76.37,False,1.6178,1.4811,0.2732
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,-4,42,False,26.62,26.96,26.6,26.8743,23.3167,61.88,65.13,63.28,False,74.89,75.72,73.23,False,1.5372,1.4972,0.0801
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,-3,43,False,25.79,26.65,25.75,26.6214,23.504,49.72,58.18,59.5,False,68.94,72.33,62.15,False,1.3402,1.4523,-0.2242
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,-2,44,False,26.18,26.18,24.9,26.4614,23.7007,54.74,60.35,60.66,False,68.38,70.36,64.43,False,1.2251,1.3874,-0.3246
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,-1,45,False,24.86,26.1,24.33,26.1971,23.832,38.96,50.65,55.12,False,59.91,65.13,49.45,False,0.9456,1.2612,-0.6311
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,0,46,True,24.44,24.94,23.68,25.98,23.9217,35.1,47.97,53.5,False,53.06,59.09,40.99,False,0.6737,1.0933,-0.8392
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,1,47,False,24.15,24.52,23.81,25.5486,23.9967,32.43,46.13,52.39,False,47.83,53.46,36.57,False,0.4298,0.9037,-0.9479
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,2,48,False,23.61,24.34,23.6,25.0929,24.0577,27.73,42.8,50.35,False,41.87,47.67,30.27,False,0.1777,0.6963,-1.0372
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,3,49,False,23.0,23.78,23.0,24.5757,24.097,23.17,39.31,48.15,False,35.09,41.38,22.52,False,-0.0842,0.4733,-1.115
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,4,50,False,21.93,22.9,21.61,24.0243,24.102,17.22,33.99,44.59,False,25.06,33.22,8.75,False,-0.4082,0.2215,-1.2593
173,bj920152,2025-03-06,high_zone,4,7,21.328,0.179998,tp,5,51,False,22.03,22.2,21.25,23.4314,24.0913,19.54,34.89,44.98,False,20.67,26.94,8.11,False,-0.6159,-0.0178,-1.1962
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,-5,36,False,27.68,28.78,27.5,27.9957,25.1313,57.11,62.85,63.8,False,73.8,78.64,64.11,False,1.2968,1.2691,0.0556
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,-4,37,False,27.54,27.8,27.05,27.9586,25.2543,54.55,61.4,62.92,False,68.63,73.63,58.61,False,1.1708,1.241,-0.1404
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,-3,38,False,27.11,27.56,26.87,27.8486,25.3723,46.79,56.99,60.24,False,63.16,68.4,52.69,False,1.0016,1.1726,-0.342
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,-2,39,False,27.08,27.5,26.95,27.7343,25.4823,46.24,56.68,60.06,False,60.23,64.31,52.06,False,0.8577,1.0826,-0.4498
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,-1,40,False,27.24,28.68,26.34,27.6057,25.605,50.01,58.01,60.73,False,59.83,62.07,55.35,False,0.7597,0.9904,-0.4613
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,0,41,True,28.09,28.33,26.95,27.6286,25.7567,65.43,64.34,64.09,True,65.32,63.7,68.58,True,0.7867,0.9322,-0.291
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,1,42,False,28.1,28.28,27.5,27.5486,25.9113,65.58,64.41,64.13,True,68.14,65.92,72.58,True,0.7912,0.8919,-0.2014
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,2,43,False,27.76,28.09,27.66,27.56,26.0543,55.72,60.11,61.83,False,67.27,66.59,68.62,True,0.7337,0.8467,-0.226
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,3,44,False,28.2,28.3,27.77,27.6543,26.217,64.1,63.55,63.59,False,69.78,68.19,72.96,True,0.736,0.8151,-0.1581
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,4,45,False,27.3,28.77,27.23,27.6814,26.3393,43.77,53.29,57.88,False,65.01,66.6,61.83,False,0.6046,0.7549,-0.3006
2889,bj920152,2025-10-23,high_zone,4,6,23.736,0.180001,tp,5,46,False,27.55,27.58,27.11,27.7486,26.4767,49.15,55.47,58.95,False,64.3,65.45,62.0,False,0.5323,0.6913,-0.318
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,-5,84,False,31.9,32.63,31.82,32.2229,34.4743,31.6,39.24,46.89,False,17.95,21.02,11.8,False,-0.6826,-0.5015,-0.3621
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,-4,85,False,32.97,33.59,32.0,32.2386,34.4143,52.81,48.23,50.56,False,22.91,21.97,24.8,True,-0.5617,-0.5187,-0.0859
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,-3,86,False,32.81,33.3,32.6,32.3871,34.2123,50.03,47.09,50.03,False,28.58,25.27,35.19,True,-0.4859,-0.5093,0.0469
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,-2,87,False,32.21,33.19,32.2,32.3914,33.9903,40.44,42.95,48.02,False,28.82,27.05,32.37,True,-0.5013,-0.507,0.0116
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,-1,88,False,32.8,32.88,32.09,32.4357,33.788,51.43,47.87,50.07,False,34.58,30.81,42.12,True,-0.4245,-0.4835,0.1179
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,0,89,True,33.83,33.88,32.71,32.6857,33.62,64.97,55.22,53.43,True,47.31,39.06,63.81,True,-0.2264,-0.41,0.3672
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,1,90,False,32.75,34.42,32.22,32.7529,33.5453,48.1,47.55,49.77,False,43.35,41.21,47.64,True,-0.2236,-0.3568,0.2663
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,2,91,False,32.62,33.55,32.32,32.8557,33.474,46.36,46.7,49.35,False,40.13,40.67,39.05,False,-0.2342,-0.3217,0.1751
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,3,92,False,33.06,33.4,32.6,32.8686,33.4163,53.23,50.01,50.83,False,42.72,41.69,44.78,True,-0.1791,-0.281,0.2037
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,4,93,False,32.96,33.44,32.5,32.89,33.3773,51.43,49.25,50.48,False,43.06,42.38,44.43,True,-0.1497,-0.2435,0.1875
60,bj920171,2025-02-26,high_zone,11,11,30.7793,0.18,tp,5,94,False,32.5,33.08,32.31,32.9314,33.334,43.36,45.77,48.86,False,38.84,40.61,35.29,False,-0.1863,-0.2272,0.0817
