position_ratio,zone_tag,trend_tag,bbi_value,ma13,ma55,ma13_slope,atr20,atr20_pct,vol_tag,golden_trend_t0,gt_n,gt_k,gt_offset,last_close,ma30,ma45,ma90,ma150,ma240,dist_ma30,dist_ma90,dist_ma150,dist_ma240,slope_ma30,slope_ma90,slope_ma240,support_score,ma_zone,macd_hist,macd_hist_slope,macd_hist_accel,rsi_value,rsi_slope,kdj_j,kdj_j_slope,kdj_k,signal_idx,stock_code,t0_date,data_source,pre_bars
0.6788,main_wave,bull_aligned,13.917,13.8385,13.4982,1.6008,0.9765,0.0544,medium,10.1932,22.0,2.0,0.95,17.94,12.579,12.8722,14.2106,,,0.4262,0.2624,,,0.045781,0.028401,0.0,4.0,transition,1.2443,0.69,0.6542,77.97,15.4952,76.26,-9.8311,80.84,0,bj920152,2025-02-21,60m,127
0.7415,high_zone,bull_aligned,23.5603,23.3046,22.4842,2.6938,2.3885,0.0915,high,14.7335,23.0,2.0,0.95,26.11,20.8587,21.56,20.5871,,,0.2518,0.2683,,,0.03225,0.053396,0.0,4.0,transition,0.4294,-1.5424,-1.3002,61.35,-4.9489,70.0,-17.9563,71.73,1,bj920171,2025-02-21,60m,127
0.6436,main_wave,bull_aligned,12.9157,12.9462,11.5013,1.7408,1.4975,0.0995,high,7.8446,24.0,2.0,0.95,15.05,11.0323,11.1124,11.6136,,,0.3642,0.2959,,,0.074473,0.053501,0.0,4.0,transition,0.3427,-0.6357,-0.403,66.33,-0.2473,66.76,-8.4916,66.34,2,bj920249,2025-02-21,60m,127
0.6716,main_wave,bull_aligned,44.9586,46.458,39.8135,6.255,5.1605,0.1042,high,27.4439,24.0,2.0,0.95,49.5421,38.9195,38.6429,39.8988,,,0.2729,0.2417,,,0.058812,0.044025,0.0,4.0,transition,-0.2327,-2.3792,0.497,60.57,-2.6599,50.38,-2.0405,53.04,3,bj920092,2025-02-21,60m,127
0.5006,main_wave,bull_aligned,19.8959,20.1015,18.77,2.5608,1.79,0.0826,high,13.2064,23.0,2.0,0.95,21.68,17.5007,17.826,19.022,,,0.2388,0.1397,,,0.054342,0.030816,0.0,4.0,transition,0.0826,-1.3494,-0.712,61.2,-17.1285,52.87,-9.2174,57.34,4,bj920130,2025-02-21,60m,127
0.7466,high_zone,bull_aligned,13.3381,13.514,11.8557,1.2341,0.8864,0.0625,high,9.2548,21.0,2.0,0.95,14.1797,11.9796,11.5706,11.7833,,,0.1837,0.2034,,,0.06662,0.04123,0.0,4.0,transition,-0.1015,-0.7026,-0.0133,57.95,-12.3611,52.69,-4.7081,60.33,5,bj920395,2025-02-21,60m,127
0.6718,main_wave,bull_aligned,21.555,21.5089,20.754,2.1507,1.7065,0.0716,high,15.0496,22.0,2.0,0.95,23.842,19.4768,20.2111,20.3434,,,0.2241,0.172,,,0.045056,0.034065,0.0,4.0,transition,0.4354,-0.6704,0.2499,58.9,-6.9162,70.89,9.7545,71.96,6,bj920906,2025-02-21,60m,127
0.6422,main_wave,bull_aligned,26.0974,25.8312,25.1354,1.8489,2.1095,0.0738,high,18.3576,23.0,2.0,0.95,28.5881,24.2049,24.7107,22.4072,,,0.1811,0.2758,,,0.005167,0.054996,0.0,4.0,transition,0.5648,-0.9476,-1.2341,62.57,-2.1946,66.81,-9.943,66.34,7,bj920522,2025-02-21,60m,127
0.6586,main_wave,bull_aligned,23.9156,23.4977,23.0775,2.6028,2.0876,0.075,high,16.2765,23.0,2.0,0.95,27.8179,21.2184,21.9144,22.6105,,,0.311,0.2303,,,0.051082,0.039595,0.0,4.0,transition,1.3057,-0.488,-1.4191,74.45,8.614,72.84,5.1377,71.69,8,bj920627,2025-02-21,60m,127
0.7,high_zone,bull_aligned,9.988,9.704,8.268,2.0078,0.9662,0.084,high,6.2061,22.0,2.0,0.95,11.496,8.3536,8.0433,7.9939,,,0.3762,0.4381,,,0.115287,0.058673,0.0,4.0,transition,0.3995,-1.0333,-1.9675,62.19,-20.1747,51.7,-20.8229,61.86,9,bj920556,2025-02-21,60m,127
