signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl
0,bj920152,2025-02-21,main_wave,5~10%,0.6788,bull_aligned,10.1932,observe_expire,16.990974,,,,,,,observe_expire,
1,bj920171,2025-02-21,high_zone,5~10%,0.7415,bull_aligned,14.7335,observe_expire,24.804499999999997,,,,,,,observe_expire,
2,bj920249,2025-02-21,main_wave,10~15%,0.6436,bull_aligned,7.8446,simulated,13.725600000000002,13.725600000000002,1.0,15.523653600000003,12.162254160000002,15.523653600000003,6.0,tp,0.131
3,bj920092,2025-02-21,main_wave,15~20%,0.6716,bull_aligned,27.4439,observe_expire,44.58789,,,,,,,observe_expire,
4,bj920130,2025-02-21,main_wave,10~15%,0.5006,bull_aligned,13.2064,simulated,19.77216,19.77216,4.0,22.36231296,17.520110975999998,22.36231296,7.0,tp,0.131
5,bj920395,2025-02-21,high_zone,10~15%,0.7466,bull_aligned,9.2548,observe_expire,13.470715,,,,,,,observe_expire,
6,bj920906,2025-02-21,main_wave,10~15%,0.6718,bull_aligned,15.0496,observe_expire,21.743904,,,,,,,observe_expire,
7,bj920522,2025-02-21,main_wave,5~10%,0.6422,bull_aligned,18.3576,observe_expire,27.075789510000003,,,,,,,observe_expire,
8,bj920627,2025-02-21,main_wave,3~5%,0.6586,bull_aligned,16.2765,simulated,26.983363,26.983363,0.0,33.1814414811,23.7561527852,33.1814414811,5.0,tp,0.2297
9,bj920556,2025-02-21,high_zone,15~20%,0.7,bull_aligned,6.2061,simulated,10.9212,10.9212,4.0,12.66203928,9.761368560000001,12.66203928,7.0,tp,0.1594
10,bj920876,2025-02-21,high_zone,3~5%,0.7519,bull_aligned,15.1899,simulated,27.051345,27.051345,0.0,31.909766562,24.0351200325,31.909766562,2.0,tp,0.1796
11,bj920953,2025-02-21,high_zone,15~20%,0.7573,bull_aligned,19.0234,simulated,38.177555,38.177555,1.0,44.263057267,34.123098659,44.263057267,14.0,tp,0.1594
12,bj920790,2025-02-21,high_zone,>20%,0.7686,bull_aligned,24.2849,simulated,45.68132,45.68132,0.0,52.962922408,40.829963816,40.829963816,5.0,sl,-0.1062
13,bj920207,2025-02-21,high_zone,5~10%,0.7582,bull_aligned,13.8469,observe_expire,23.87711,,,,,,,observe_expire,
14,bj920924,2025-02-21,high_zone,>20%,0.7602,bull_aligned,13.0146,observe_expire,30.332359999999998,,,,,,,observe_expire,
15,bj920932,2025-02-21,main_wave,15~20%,0.6722,bull_aligned,14.0155,simulated,20.34558,20.34558,4.0,23.944713102000005,17.946836118,23.944713102000005,5.0,tp,0.1769
16,bj920152,2025-02-24,high_trap,0~3%,0.8127,bull_aligned,10.2325,high_trap_skip,,,,,,,,,
17,sz002527,2025-02-24,high_trap,>20%,1.0,bull_aligned,8.0633,high_trap_skip,,,,,,,,,
18,bj920662,2025-02-24,high_trap,10~15%,0.9811,bull_aligned,14.7001,high_trap_skip,,,,,,,,,
19,bj920855,2025-02-24,main_wave,15~20%,0.5729,bull_aligned,12.8165,simulated,20.60253,20.60253,2.0,24.247117557000003,18.173491713,18.173491713,19.0,sl,-0.1179
20,bj920491,2025-02-24,high_trap,15~20%,0.8939,bull_aligned,19.4088,high_trap_skip,,,,,,,,,
21,bj920207,2025-02-24,high_trap,3~5%,0.8317,bull_aligned,14.0238,high_trap_skip,,,,,,,,,
22,bj920978,2025-02-24,high_trap,0~3%,0.8756,bull_aligned,12.3076,high_trap_skip,,,,,,,,,
23,bj920407,2025-02-24,main_wave,15~20%,0.6746,bull_aligned,12.758,simulated,19.000890000000002,19.000890000000002,3.0,22.362147441000005,16.760685069,22.362147441000005,8.0,tp,0.1769
24,bj920556,2025-02-24,high_zone,10~15%,0.7867,bull_aligned,6.3661,simulated,11.834435,11.834435,0.0,13.11255398,10.623772299499999,10.623772299499999,3.0,sl,-0.1023
25,bj920924,2025-02-24,high_trap,15~20%,1.0,bull_aligned,13.5052,high_trap_skip,,,,,,,,,
26,bj920363,2025-02-24,main_wave,5~10%,0.6857,bull_aligned,8.0991,simulated,13.157492040000001,13.157492040000001,0.0,15.465316143816,11.632538712564001,11.632538712564001,4.0,sl,-0.1159
27,bj920693,2025-02-24,main_wave,10~15%,0.5437,bull_aligned,32.4269,simulated,44.66292,44.66292,3.0,50.51376252,39.575813412,50.51376252,5.0,tp,0.131
28,bj920184,2025-02-24,high_zone,10~15%,0.7603,bull_aligned,9.8968,simulated,15.23781,15.23781,0.0,16.883493480000002,13.678982036999999,16.883493480000002,13.0,tp,0.108
29,sh600590,2025-02-24,high_trap,10~15%,1.0,bull_aligned,4.269,high_trap_skip,,,,,,,,,
30,bj920010,2025-02-24,main_wave,3~5%,0.6219,bull_aligned,6.6486,observe_expire,9.663915999999999,,,,,,,observe_expire,
31,bj920593,2025-02-24,high_trap,>20%,0.9758,bull_aligned,23.4989,high_trap_skip,,,,,,,,,
32,bj920415,2025-02-24,main_wave,15~20%,0.4927,bull_aligned,12.7726,observe_expire,17.71866,,,,,,,observe_expire,
33,bj920706,2025-02-24,main_wave,3~5%,0.6581,bull_aligned,10.8311,observe_expire,14.662908,,,,,,,observe_expire,
34,bj920895,2025-02-24,main_wave,0~3%,0.5743,bull_aligned,10.5609,simulated,16.6064,16.6064,0.0,20.573668960000003,14.58374048,20.573668960000003,14.0,tp,0.2389
35,sz002599,2025-02-24,high_trap,>20%,1.0,bull_aligned,6.3375,high_trap_skip,,,,,,,,,
36,bj920152,2025-02-25,high_trap,3~5%,0.8127,bull_aligned,10.2325,high_trap_skip,,,,,,,,,
37,bj920146,2025-02-25,main_wave,10~15%,0.6887,bull_aligned,5.9162,observe_expire,8.55456,,,,,,,observe_expire,
38,bj920395,2025-02-25,high_trap,15~20%,0.8078,bull_aligned,9.5276,high_trap_skip,,,,,,,,,
39,sz002527,2025-02-25,high_trap,>20%,1.0,bull_aligned,8.0633,high_trap_skip,,,,,,,,,
40,bj920855,2025-02-25,main_wave,>20%,0.5729,bull_aligned,12.8165,simulated,20.60253,20.60253,1.0,24.247117557000003,18.173491713,18.173491713,18.0,sl,-0.1179
41,bj920663,2025-02-25,high_trap,>20%,0.8332,bull_aligned,9.7656,high_trap_skip,,,,,,,,,
42,bj920207,2025-02-25,high_trap,15~20%,0.8317,bull_aligned,14.0238,high_trap_skip,,,,,,,,,
43,bj920273,2025-02-25,main_wave,10~15%,0.6797,bull_aligned,12.516,observe_expire,15.764649599999998,,,,,,,observe_expire,
44,bj920010,2025-02-25,main_wave,10~15%,0.6219,bull_aligned,6.6486,observe_expire,9.0860736,,,,,,,observe_expire,
45,bj920837,2025-02-25,main_wave,10~15%,0.6139,bull_aligned,9.0811,simulated,13.2128736,13.2128736,2.0,14.943760041600001,11.70792729696,14.943760041600001,6.0,tp,0.131
46,bj920706,2025-02-25,main_wave,5~10%,0.6581,bull_aligned,10.8311,observe_expire,14.31674244,,,,,,,observe_expire,
47,bj920378,2025-02-25,high_zone,5~10%,0.7282,bull_aligned,7.9026,observe_expire,12.23866,,,,,,,observe_expire,
48,bj920493,2025-02-25,high_zone,>20%,0.7974,bull_aligned,67.5906,simulated,233.225,233.225,0.0,270.401065,208.456505,208.456505,1.0,sl,-0.1062
49,bj920895,2025-02-25,main_wave,3~5%,0.5743,bull_aligned,10.5609,simulated,16.6064,16.6064,0.0,20.42089008,14.62027456,20.42089008,13.0,tp,0.2297
50,bj920510,2025-02-25,high_zone,15~20%,0.7619,bull_aligned,15.051,simulated,21.7075,21.7075,2.0,25.167675499999998,19.4021635,25.167675499999998,5.0,tp,0.1594
51,bj920454,2025-02-25,main_wave,10~15%,0.6428,bull_aligned,10.3787,observe_expire,14.812886400000002,,,,,,,observe_expire,
52,bj920834,2025-02-25,high_trap,5~10%,0.8511,bull_aligned,6.5012,high_trap_skip,,,,,,,,,
53,bj920570,2025-02-25,main_wave,5~10%,0.6172,neutral,23.6035,simulated,32.935686630000006,32.935686630000006,1.0,38.712606064902005,29.118440549583006,38.712606064902005,7.0,tp,0.1754
54,bj920152,2025-02-26,high_trap,3~5%,0.8062,bull_aligned,10.2265,high_trap_skip,,,,,,,,,
55,bj920690,2025-02-26,main_wave,15~20%,0.6855,bull_aligned,11.8431,observe_expire,14.908590000000002,,,,,,,observe_expire,
56,bj920395,2025-02-26,high_zone,10~15%,0.7876,bull_aligned,9.6939,observe_expire,13.938209999999998,,,,,,,observe_expire,
