signal_idx,stock_code,t0_date,zone_tag,dd_tier,position_ratio,trend_tag,golden_trend_t0,support_score,ma_zone,_ind_config,status,target_entry_price,actual_entry_price,entry_day_idx,tp_price,sl_price,exit_price,exit_day_idx,exit_reason,pnl,gt_t0,gt_channel_width,gt_n,gt_k,gt_offset,tp_mult,sl_buffer,gt_at_entry,ema_h_at_entry,channel_at_entry,gap_at_entry,fwd_low,fwd_low_day,fwd_high,fwd_high_day,hold_low,hold_low_day,hold_high,hold_high_day,entry_type
0,bj920152,2025-02-21,main_wave,5~10%,0.6788,bull_aligned,10.1932,4.0,transition,"('none', False)",order_timeout,10.1932,,,,,,,order_timeout,,10.1932,3.0834,22.0,2.0,0.95,2.0,0.03,,,,,18.52,1.0,28.77,16.0,,,,,none
16,bj920152,2025-02-24,high_trap,0~3%,0.8127,bull_aligned,10.2325,4.0,transition,"('none', False)",order_timeout,10.2325,,,,,,,order_timeout,,10.2325,3.3331,23.0,2.0,0.95,2.0,0.03,,,,,18.52,0.0,28.77,15.0,,,,,none
36,bj920152,2025-02-25,high_trap,3~5%,0.8127,bull_aligned,10.2325,4.0,transition,"('none', False)",order_timeout,10.2325,,,,,,,order_timeout,,10.2325,3.3331,23.0,2.0,0.95,2.0,0.03,,,,,19.49,0.0,28.77,14.0,,,,,none
54,bj920152,2025-02-26,high_trap,3~5%,0.8062,bull_aligned,10.2265,4.0,transition,"('none', False)",order_timeout,10.2265,,,,,,,order_timeout,,10.2265,3.5189,22.0,2.0,0.95,2.0,0.03,,,,,19.89,8.0,28.77,13.0,,,,,none
72,bj920152,2025-02-27,high_zone,15~20%,0.7965,bull_aligned,10.2511,4.0,transition,"('none', False)",simulated,10.2511,21.6923,5.0,25.597,19.5231,25.597,12.0,tp,0.180002,10.2511,3.7138,22.0,2.0,0.95,1.5,0.03,,,,,19.65,21.0,28.77,12.0,19.89,7.0,28.77,12.0,60m
91,bj920152,2025-02-28,high_zone,10~15%,0.788,bull_aligned,10.3073,4.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
114,bj920152,2025-03-03,high_zone,5~10%,0.7994,bull_aligned,10.4424,4.0,transition,,cooldown,,,,,,,,cooldown,,,,,,,,,,,,,,,,,,,,,
173,bj920152,2025-03-06,high_zone,>20%,0.7578,bull_aligned,10.6422,4.0,transition,"('none', False)",simulated,10.6422,21.328,4.0,25.167,19.1952,25.167,7.0,tp,0.179998,10.6422,5.2957,19.0,2.0,0.95,1.5,0.03,,,,,15.0,20.0,28.77,7.0,20.72,5.0,28.77,7.0,60m
748,bj920152,2025-04-21,main_wave,10~15%,0.5316,neutral,15.0674,4.0,transition,"('none', False)",order_timeout,15.0674,,,,,,,order_timeout,,15.0674,6.3684,20.0,2.0,0.95,2.0,0.03,,,,,18.0,5.0,21.88,18.0,,,,,none
1436,bj920152,2025-06-20,main_wave,15~20%,0.5676,bull_aligned,16.7108,6.0,transition,"('none', False)",order_timeout,16.7108,,,,,,,order_timeout,,16.7108,4.1058,21.0,2.0,0.95,2.0,0.03,,,,,20.11,16.0,25.6,2.0,,,,,none
1462,bj920152,2025-06-23,high_zone,10~15%,0.7602,bull_aligned,16.7208,6.0,transition,"('none', False)",order_timeout,16.7208,,,,,,,order_timeout,,16.7208,4.2264,21.0,2.0,0.95,1.5,0.03,,,,,20.11,15.0,25.6,1.0,,,,,none
1480,bj920152,2025-06-24,high_zone,15~20%,0.7602,bull_aligned,16.7208,6.0,transition,"('none', False)",order_timeout,16.7208,,,,,,,order_timeout,,16.7208,4.2264,21.0,2.0,0.95,1.5,0.03,,,,,20.11,14.0,25.6,0.0,,,,,none
2889,bj920152,2025-10-23,high_zone,5~10%,0.7382,bull_aligned,18.3724,6.0,transition,"('none', False)",simulated,18.3724,23.736,4.0,28.0085,21.3624,28.0085,6.0,tp,0.180001,18.3724,3.3731,19.0,1.695,0.95,1.5,0.03,,,,,22.8,4.0,32.3,21.0,22.8,4.0,28.78,6.0,60m
