stock_code,cluster_id
31#00001,0
31#00002,0
31#00003,0
31#00004,0
31#00005,0
31#00006,0
31#00007,0
31#00008,0
31#00009,0
31#00010,0
31#00011,0
31#00012,0
31#00013,0
31#00014,0
31#00016,0
31#00017,0
31#00018,0
31#00019,0
31#00020,0
31#00021,0
31#00022,0
31#00023,0
31#00025,0
31#00026,0
31#00027,0
31#00028,0
31#00029,0
31#00030,0
31#00031,0
31#00032,0
31#00033,0
31#00034,0
31#00035,0
31#00036,0
31#00037,0
31#00039,0
31#00040,0
31#00041,0
31#00042,0
31#00045,0
31#00046,0
31#00048,0
31#00050,0
31#00051,0
31#00052,0
31#00053,0
31#00055,0
31#00057,0
31#00058,0
31#00059,0
31#00060,0
31#00061,0
31#00062,0
31#00063,0
31#00064,0
31#00065,0
31#00066,0
31#00069,0
31#00070,0
31#00071,0
31#00072,0
31#00073,0
31#00075,0
31#00076,0
31#00077,0
31#00078,0
31#00080,0
31#00081,0
31#00082,0
31#00083,0
31#00084,0
31#00085,0
31#00086,0
31#00087,0
31#00088,0
31#00089,0
31#00090,0
31#00092,0
31#00093,0
31#00094,0
31#00095,0
31#00097,0
31#00098,0
31#00101,0
31#00102,0
31#00103,0
31#00104,0
31#00106,0
31#00107,0
31#00108,0
31#00110,0
31#00111,0
31#00113,0
31#00114,0
31#00116,0
31#00117,0
31#00118,0
31#00119,0
31#00120,0
31#00122,0
31#00123,0
31#00124,0
31#00125,0
31#00126,0
31#00127,0
31#00128,0
31#00129,0
31#00131,0
31#00132,0
31#00133,0
31#00135,0
31#00136,0
31#00137,0
31#00138,0
31#00139,0
31#00142,0
31#00144,0
31#00145,0
31#00147,0
31#00148,0
31#00149,0
31#00150,0
31#00151,0
31#00152,0
31#00154,0
31#00156,0
31#00159,0
31#00160,0
31#00162,0
31#00163,0
31#00164,0
31#00165,0
31#00166,0
31#00167,0
31#00168,0
31#00169,0
31#00171,0
31#00173,0
31#00175,0
31#00176,0
31#00177,0
31#00178,0
31#00179,0
31#00180,0
31#00182,0
31#00183,0
31#00184,0
31#00185,0
31#00187,0
31#00188,0
31#00189,0
31#00191,0
31#00193,0
31#00194,0
31#00195,0
31#00196,0
31#00197,0
31#00199,0
31#00200,0
31#00201,0
31#00202,0
31#00204,0
31#00205,0
31#00206,0
31#00207,0
31#00209,0
31#00210,0
31#00211,0
31#00212,0
31#00213,0
31#00214,0
31#00215,0
31#00216,0
31#00217,0
31#00218,0
31#00219,0
31#00220,0
31#00222,0
31#00223,0
31#00226,0
31#00227,0
31#00228,0
31#00229,0
31#00230,0
31#00232,0
31#00234,0
31#00235,0
31#00236,0
31#00237,0
31#00239,0
31#00240,0
31#00241,0
31#00242,0
31#00243,0
31#00244,0
31#00245,0
31#00248,0
31#00251,0
31#00254,0
31#00255,0
31#00256,0
31#00257,0
31#00258,0
31#00259,0
31#00261,0
31#00262,0
31#00264,0
31#00265,0
31#00267,0
31#00268,0
31#00269,0
31#00270,0
31#00271,0
31#00272,0
31#00274,0
31#00276,0
31#00279,0
31#00280,0
31#00285,0
31#00286,0
31#00288,0
31#00289,0
31#00290,0
31#00291,0
31#00293,0
31#00295,0
31#00296,0
31#00297,0
31#00298,0
31#00299,0
31#00301,0
31#00302,0
31#00303,0
31#00305,0
31#00306,0
31#00308,0
31#00309,0
31#00310,0
31#00312,0
31#00313,0
31#00314,0
31#00315,0
31#00316,0
31#00317,0
31#00318,0
31#00320,0
31#00321,0
31#00322,0
31#00323,0
31#00326,0
31#00327,0
31#00328,0
31#00329,0
31#00330,0
31#00331,0
31#00332,0
31#00333,0
31#00334,0
31#00335,0
31#00336,0
31#00337,0
31#00338,0
31#00339,0
31#00340,0
31#00341,0
31#00343,0
31#00345,0
31#00346,0
31#00347,0
31#00348,0
31#00351,0
31#00353,0
31#00354,0
31#00355,0
31#00356,0
31#00357,0
31#00358,0
31#00360,0
31#00361,0
31#00362,0
31#00363,0
31#00365,0
31#00366,0
31#00367,0
31#00368,0
31#00369,0
31#00370,0
31#00371,0
31#00372,0
31#00373,0
31#00376,0
31#00377,0
31#00379,0
31#00380,0
31#00381,0
31#00382,0
31#00383,0
31#00384,0
31#00385,0
31#00386,0
31#00387,0
31#00388,0
31#00389,0
31#00390,0
31#00391,0
31#00392,0
31#00393,0
31#00396,0
31#00397,0
31#00398,0
31#00399,0
31#00400,0
31#00401,0
31#00403,0
31#00408,0
31#00410,0
31#00411,0
31#00412,0
31#00413,0
31#00417,0
31#00418,0
31#00419,0
31#00420,0
31#00422,0
31#00423,0
31#00425,0
31#00426,0
31#00428,0
31#00431,0
31#00432,0
31#00433,0
31#00434,0
31#00436,0
31#00438,0
31#00439,0
31#00440,0
31#00444,0
31#00450,0
31#00451,0
31#00455,0
31#00456,0
31#00459,0
31#00460,0
31#00464,0
31#00465,0
31#00467,0
31#00468,0
31#00471,0
31#00472,0
31#00474,0
31#00475,0
31#00476,0
31#00480,0
31#00482,0
31#00483,0
31#00484,0
31#00485,0
31#00486,0
31#00487,0
31#00488,0
31#00489,0
31#00491,0
31#00493,0
31#00496,0
31#00497,0
31#00498,0
31#00499,0
31#00500,0
31#00505,0
31#00506,0
31#00508,0
31#00509,0
31#00510,0
31#00511,0
31#00512,0
31#00513,0
31#00515,0
31#00517,0
31#00518,0
31#00519,0
31#00520,0
31#00521,0
31#00522,0
31#00524,0
31#00525,0
31#00526,0
31#00527,0
31#00528,0
31#00532,0
31#00533,0
31#00535,0
31#00536,0
31#00538,0
31#00540,0
31#00542,0
31#00543,0
31#00544,0
31#00546,0
31#00547,0
31#00548,0
31#00550,0
31#00551,0
31#00552,0
31#00553,0
31#00554,0
31#00556,0
31#00558,0
31#00559,0
31#00560,0
31#00563,0
31#00564,0
31#00565,0
31#00567,0
31#00568,0
31#00570,0
31#00571,0
31#00572,0
31#00573,0
31#00574,0
31#00575,0
31#00576,0
31#00579,0
31#00580,0
31#00581,0
31#00582,0
31#00583,0
31#00585,0
31#00586,0
31#00587,0
31#00588,0
31#00589,0
31#00590,0
31#00591,0
31#00593,0
31#00595,0
31#00596,0
31#00598,0
31#00601,0
31#00602,0
31#00603,0
31#00604,0
31#00605,0
31#00606,0
31#00607,0
31#00609,0
31#00610,0
31#00611,0
31#00612,0
31#00613,0
31#00616,0
31#00617,0
31#00618,0
31#00619,0
31#00620,0
31#00621,0
31#00622,0
31#00623,0
31#00626,0
31#00627,0
31#00628,0
31#00629,0
31#00630,0
31#00631,0
31#00632,0
31#00635,0
31#00636,0
31#00637,0
31#00639,0
31#00640,0
31#00641,0
31#00643,0
31#00646,0
31#00650,0
31#00653,0
31#00655,0
31#00656,0
31#00657,0
31#00658,0
31#00659,0
31#00660,0
31#00661,0
31#00662,0
31#00663,0
31#00667,0
31#00669,0
31#00670,0
31#00672,0
31#00673,0
31#00674,0
31#00675,0
31#00677,0
31#00679,0
31#00681,0
31#00682,0
31#00683,0
31#00684,0
31#00685,0
31#00686,0
31#00687,0
31#00688,0
31#00689,0
31#00690,0
31#00691,0
31#00693,0
31#00694,0
31#00695,0
31#00696,0
31#00697,0
31#00698,0
31#00700,0
31#00701,0
31#00702,0
31#00703,0
31#00707,0
31#00708,0
31#00709,0
31#00710,0
31#00711,0
31#00712,0
31#00713,0
31#00716,0
31#00717,0
31#00718,0
31#00719,0
31#00720,0
31#00721,0
31#00722,0
31#00723,0
31#00724,0
31#00726,0
31#00727,0
31#00728,0
31#00730,0
31#00731,0
31#00732,0
31#00733,0
31#00736,0
31#00737,0
31#00738,0
31#00743,0
31#00745,0
31#00747,0
31#00750,0
31#00751,0
31#00752,0
31#00753,0
31#00754,0
31#00755,0
31#00756,0
31#00757,0
31#00759,0
31#00760,0
31#00762,0
31#00763,0
31#00764,0
31#00765,0
31#00767,0
31#00768,0
31#00769,0
31#00771,0
31#00772,0
31#00775,0
31#00776,0
31#00777,0
31#00780,0
31#00784,0
31#00788,0
31#00789,0
31#00797,0
31#00798,0
31#00799,0
31#00802,0
31#00804,0
31#00806,0
31#00807,0
31#00809,0
31#00810,0
31#00811,0
31#00812,0
31#00813,0
31#00814,0
31#00815,0
31#00816,0
31#00817,0
31#00818,0
31#00819,0
31#00821,0
31#00822,0
31#00825,0
31#00827,0
31#00828,0
31#00829,0
31#00830,0
31#00831,0
31#00832,0
31#00833,0
31#00836,0
31#00837,0
31#00838,0
31#00839,0
31#00840,0
31#00841,0
31#00842,0
31#00844,0
31#00845,0
31#00846,0
31#00848,0
31#00851,0
31#00852,0
31#00853,0
31#00855,0
31#00856,0
31#00857,0
31#00858,0
31#00859,0
31#00860,0
31#00861,0
31#00862,0
31#00863,0
31#00865,0
31#00867,0
31#00868,0
31#00869,0
31#00871,0
31#00873,0
31#00874,0
31#00875,0
31#00876,0
31#00878,0
31#00880,0
31#00881,0
31#00882,0
31#00883,0
31#00884,0
31#00887,0
31#00888,0
31#00893,0
31#00894,0
31#00895,0
31#00896,0
31#00897,0
31#00899,0
31#00900,0
31#00902,0
31#00905,0
31#00907,0
31#00909,0
31#00910,0
31#00911,0
31#00912,0
31#00913,0
31#00914,0
31#00915,0
31#00916,0
31#00918,0
31#00919,0
31#00921,0
31#00922,0
31#00923,0
31#00924,0
31#00925,0
31#00926,0
31#00927,0
31#00928,0
31#00929,0
31#00931,0
31#00932,0
31#00934,0
31#00938,0
31#00939,0
31#00941,0
31#00943,0
31#00945,0
31#00947,0
31#00948,0
31#00950,0
31#00951,0
31#00952,0
31#00953,0
31#00954,0
31#00956,0
31#00959,0
31#00960,0
31#00966,0
31#00968,0
31#00969,0
31#00970,0
31#00975,0
31#00976,0
31#00978,0
31#00979,0
31#00980,0
31#00981,0
31#00983,0
